date,elevation,siteID,aspect,transect,scan_file,position_m,depth_m,amplitude_dB,pixel_count,sample_no,sample_depth_cm,soil_depth_cm,dry_root_mass_g,rock_mass_g,dry_soil_mass_g,root_to_soil_ratio,root_to_soil_and_rock_ratio
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,4.33,0.05,2.2,432,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,4.42,0.09,1.4,450,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,4.48,0.06,2.5,481,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,4.68,0.05,1.9,359,2,8.5,9,3.14,229.84,147.95,0.021223386,0.008311496
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,4.74,0.1,1.4,586,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,5.07,0.09,1.1,190,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,5.26,0.1,2.7,1248,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,5.3,0.05,2.7,1888,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,5.49,0.05,3.8,372,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,5.71,0.1,1.1,379,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,5.94,0.06,2.8,441,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,6.29,0.1,1.4,317,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,6.42,0.17,0.8,106,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,6.53,0.08,1.9,1063,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,6.75,0.08,2.3,923,3,7.5,60,2.55,185.09,133.18,0.019147019,0.008012065
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,6.9,0.08,2.2,752,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,6.96,0.12,1.2,270,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,7.02,0.07,1.1,188,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,7.08,0.14,1.1,165,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,7.26,0.07,2.3,1058,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,7.33,0.11,1.1,395,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,7.61,0.07,0.9,155,4,7.5,13,5.16,144.09,95.99,0.0537556,0.021492836
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,7.79,0.06,2.7,1243,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,7.8,0.13,1.1,194,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,8.02,0.11,1.4,132,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,8.08,0.16,0.9,127,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,8.13,0.13,1,173,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,8.18,0.05,12.8,1416,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,8.26,0.04,1.3,111,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,8.38,0.1,1.2,237,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,8.49,0.09,2.3,576,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,8.59,0.03,12.1,1202,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,8.67,0.05,3.2,344,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,8.78,0.08,2,346,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,8.89,0.06,1.9,573,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,9.11,0.05,8.6,1764,5,7,17,3.72,152.86,125.01,0.029757619,0.013387555
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,9.2,0.11,1.8,670,NA,NA,NA,NA,NA,NA,NA,NA
