"","Group","elevation","SRL","RTD","RDMC","RD","BI"
"1","RP",2200,93.4799213475177,0.156877941162383,0.000792134831460674,0.2628,0.515907
"2","RP",2200,49.5760971884984,0.216888529080289,0.000299808429118774,0.308655,0.387954
"3","RP",2200,64.7962153005465,0.190020560432312,0.000347248576850095,0.291187,0.45034
"4","RP",2200,60.0500256741573,0.17077346304339,3.73949579831933e-05,0.31962,0.406964
"5","RP",2200,112.319201654676,0.182995524034803,0.000463333333333333,0.23528,0.539956
"6","RP",2600,87.7179989651928,0.176519159087303,0.000356711409395973,0.26147,0.33675
"7","RP",2600,76.3146894444445,0.12547188210411,0.000279611650485437,0.324198,0.450438
"8","RP",2600,96.0037399201597,0.177342197965396,0.000385384615384615,0.256532,0.369039
"9","RP",2600,114.7053187,0.1462428732466,0.000249687890137328,0.252074,0.420207
"10","RP",2600,68.3187322257806,0.18547042371535,0.00033218085106383,0.282291,0.358021
"11","RP",2400,50.1436944088526,0.219236116505826,0.000402107728337237,0.303046,0.372836
"12","RP",2400,149.007461715934,0.134412160674223,0.00030890868596882,0.232929,0.438857
"13","RP",2400,46.3528120496161,0.156376738589745,0.000315858208955224,0.357461,0.523094
"14","RP",2400,105.030451659292,0.178244750982914,0.000322857142857143,0.237315,0.351773
"15","RP",2400,37.0602669047619,0.225516366031426,0.000330708661417323,0.326287,0.430444
"16","RP",2800,55.091588429368,0.268211501769168,0.000376223776223776,0.268667,0.352573
"17","RP",2800,99.2699621022179,0.150045771918504,0.000347986577181208,0.268579,0.305995
"18","RP",2800,68.4130083231831,0.147582757120935,0.000329718875502008,0.319616,0.368543
"19","RP",2800,83.3139175697865,0.143571769684886,0.000319405594405594,0.292568,0.406006
"20","RP",2800,76.9681194855306,0.187562927814604,0.000372901678657074,0.275563,0.391025
"21","RP",2600,123.814146303502,0.151824760081064,0.000448908296943231,0.246384,0.385761
"22","RP",2600,84.1227208105148,0.147008903393767,0.000409417040358744,0.294943,0.386698
"23","RP",2600,48.8572141106129,0.238138799409253,0.000489751098096632,0.300633,0.49135
"24","RP",2600,73.5283687830688,0.175539923420941,0.000247058823529412,0.29742,0.237464
"25","RP",2600,144.571468907563,0.118308520873511,0.000250233644859813,0.24857,0.501821
"26","RP",2400,21.0181153314294,0.325172653213492,0.000360010822510823,0.35809,0.396185
"27","RP",2400,23.9693763022602,0.379438129607717,0.000400505050505051,0.326106,0.374342
"28","RP",2400,49.7024534351145,0.247204625194763,0.000352150537634409,0.293245,0.307171
"29","RP",2400,37.3715868212131,0.258420690304443,0.000387807881773399,0.319302,0.237927
"30","RP",2400,65.8853774128686,0.174937878879157,0.000227439024390244,0.298348,0.42319
"31","RP",2200,32.7006643854749,0.37480699402833,0.000552469135802469,0.292101,0.280178
"32","RP",2200,62.7998728849185,0.271914959746584,0.000442558139534884,0.255678,0.326338
