"","Group","elevation","AverageRD","MedianRD","MaxRD"
"133","CUT",2200,0.287812,0.254,1.212242
"134","CUT",2200,0.372248,0.26774,3.035037
"135","CUT",2800,0.275439,0.18932,1.151591
"136","CUT",2800,0.227104,0.18932,0.965349
"137","CUT",2800,0.327796,0.26774,1.100667
"138","CUT",2800,0.30963,0.254,1.669888
"139","CUT",2800,0.270632,0.254,0.863434
"140","CUT",2600,0.226838,0.18932,0.682604
"141","CUT",2600,0.349137,0.30527,1.25866
"142","CUT",2600,0.297589,0.26774,0.871697
"143","CUT",2600,0.321761,0.30527,1.203339
"144","CUT",2600,0.293904,0.254,1.103918
"145","CUT",2400,0.239543,0.18932,1.019522
"146","CUT",2400,0.238245,0.254,0.493687
"147","CUT",2400,0.357276,0.26774,1.197367
"148","CUT",2400,0.262754,0.18932,1.439333
"149","CUT",2400,0.267274,0.239473,0.957894
"150","CUT",2200,0.336295,0.26774,1.22108
"151","CUT",2200,0.201425,0.169333,1.212242
"152","CUT",2200,0.324995,0.254,1.325243
"153","CUT",2200,0.353628,0.26774,1.737215
"154","CUT",2200,0.404853,0.35921,1.83162
"155","CUT",2800,0.309491,0.254,1.969296
"156","CUT",2800,0.338932,0.254,2.878667
"157","CUT",2800,0.328903,0.254,1.606437
"158","CUT",2800,0.206714,0.169333,0.871697
"159","CUT",2600,0.277166,0.254,0.957894
"160","CUT",2600,0.322087,0.26774,1.070958
"161","CUT",2600,0.275603,0.239473,1.378273
"162","CUT",2600,0.291362,0.239473,1.52635
"163","CUT",2600,0.254408,0.239473,1.281239
"164","CUT",2400,0.290127,0.239473,1.561176
"165","CUT",2400,0.270181,0.254,0.883946
"166","CUT",2400,0.197782,0.169333,0.957894
"167","CUT",2400,0.223331,0.18932,0.850889
"168","CUT",2400,0.258114,0.18932,1.139073
"169","CUT",2200,0.260309,0.18932,1.100667
"170","CUT",2200,0.333121,0.239473,3.557008
"171","CUT",2200,0.26261,0.18932,1.686971
"172","CUT",2200,0.271158,0.18932,1.47864
"173","CUT",2200,0.375355,0.26774,1.643929
"174","CUT",2800,0.348295,0.30527,1.574891
"175","CUT",2800,0.324165,0.254,1.862667
"176","CUT",2800,0.330556,0.26774,1.606437
"177","CUT",2800,0.268524,0.239473,1.197367
"178","CUT",2800,0.250269,0.18932,1.176227
"179","CUT",2600,0.262359,0.18932,0.965349
"180","CUT",2600,0.318444,0.254,1.514563
"181","CUT",2600,0.282473,0.254,1.325243
"182","CUT",2600,0.265909,0.239473,1.401483
"183","CUT",2600,0.218734,0.18932,0.846667
"184","CUT",2400,0.239875,0.169333,1.401483
"185","CUT",2400,0.287744,0.239473,1.27
"186","CUT",2400,0.225885,0.18932,1.084262
"187","CUT",2400,0.234339,0.18932,1.25866
"188","CUT",2400,0.245409,0.18932,1.151591
"189","GIMP",2200,0.220144,0.169333,1.070958
"190","GIMP",2200,0.268941,0.18932,1.365209
"191","GIMP",2200,0.240895,0.18932,0.965349
"192","GIMP",2200,0.1478,0.119737,0.542131
"193","GIMP",2200,0.309553,0.26774,1.030014
"194","GIMP",2800,0.27576,0.239473,1.446785
"195","GIMP",2800,0.257089,0.18932,1.139073
"196","GIMP",2600,0.243652,0.18932,0.798744
"197","GIMP",2400,0.168066,0.169333,1.023031
"198","GIMP",2400,0.226874,0.18932,0.762
"199","GIMP",2200,0.193476,0.169333,0.762
"200","GIMP",2200,0.249014,0.18932,1.497906
"201","GIMP",2200,0.20641,0.169333,1.643929
"202","GIMP",2200,0.226335,0.169333,1.129594
"203","GIMP",2200,0.346882,0.254,1.581704
"204","GIMP",2800,0.290635,0.239473,1.338698
"205","GIMP",2800,0.220521,0.169333,0.883946
"206","GIMP",2600,0.235431,0.18932,0.83387
"207","GIMP",2600,0.242158,0.18932,1.325243
"208","GIMP",2600,0.221407,0.18932,0.946602
