"","source","ID","Number.of.Root.Tips","Number.of.Branch.Points","Total.Root.Length.mm","Network.Area.mm2","Median.Diameter.mm","Maximum.Diameter.mm","Perimeter.mm","Volume.mm3","Surface.Area.mm2","Computation.Time.s","Root.Length.Diameter.Range.1.mm","Root.Length.Diameter.Range.2.mm","Root.Length.Diameter.Range.3.mm","Root.Length.Diameter.Range.4.mm","Root.Length.Diameter.Range.5.mm","Root.Length.Diameter.Range.6.mm","Root.Length.Diameter.Range.7.mm","Root.Length.Diameter.Range.8.mm","Root.Length.Diameter.Range.9.mm","Projected.Area.Diameter.Range.1.mm2","Projected.Area.Diameter.Range.2.mm2","Projected.Area.Diameter.Range.3.mm2","Projected.Area.Diameter.Range.4.mm2","Projected.Area.Diameter.Range.5.mm2","Projected.Area.Diameter.Range.6.mm2","Projected.Area.Diameter.Range.7.mm2","Projected.Area.Diameter.Range.8.mm2","Projected.Area.Diameter.Range.9.mm2","Surface.Area.Diameter.Range.1.mm2","Surface.Area.Diameter.Range.2.mm2","Surface.Area.Diameter.Range.3.mm2","Surface.Area.Diameter.Range.4.mm2","Surface.Area.Diameter.Range.5.mm2","Surface.Area.Diameter.Range.6.mm2","Surface.Area.Diameter.Range.7.mm2","Surface.Area.Diameter.Range.8.mm2","Surface.Area.Diameter.Range.9.mm2","Volume.Diameter.Range.1.mm3","Volume.Diameter.Range.2.mm3","Volume.Diameter.Range.3.mm3","Volume.Diameter.Range.4.mm3","Volume.Diameter.Range.5.mm3","Volume.Diameter.Range.6.mm3","Volume.Diameter.Range.7.mm3","Volume.Diameter.Range.8.mm3","Volume.Diameter.Range.9.mm3","RD","BI","SRL","RTD","RDMC"
"76","RawScanners","FCM1008",4338,8532,3147.104255,528.081381,0.239473,3.557008,3359.027255,556.507605,3450.130172,1.894,1495.314966,1021.394647,355.943181,136.201694,53.337987,37.920056,23.68849,9.462425,13.84081,218.560901,349.253899,212.2983,115.282972,58.482371,51.556304,37.843931,17.766729,34.862801,688.852059,1099.440994,668.676234,362.59648,183.87417,162.242877,119.106809,55.815827,109.524721,28.203837,98.48392,101.281773,77.376768,50.625489,55.392778,47.759287,26.23766,71.146093,0.333121,2.711064,97.7361569875777,0.0578608445072372,414.414414414414
"77","RawScanners","FBK1070",2044,3193,1276.649598,196.300683,0.18932,1.686971,1643.702569,119.536902,1093.476207,1.441,749.374538,378.443115,84.731963,43.544674,16.248309,3.411981,0.895017,0,0,111.957382,123.451338,51.011518,37.534097,17.575146,4.523826,1.410147,0,0,352.277099,388.801529,160.624658,117.916844,55.213951,14.212019,4.430107,0,0,14.65107,33.285258,24.558448,25.601843,14.970868,4.722549,1.746866,0,0,0.26261,2.501078,44.7947227368421,0.238420098924766,443.234836702955
"78","RawScanners","FBO8536",2160,3490,1676.439751,284.755703,0.18932,1.47864,2287.596081,154.319045,1461.362817,1.712,927.648995,534.827449,142.697475,55.760743,12.780714,2.724376,0,0,0,135.589726,179.492383,85.393704,46.313314,13.990925,3.611785,0,0,0,426.584321,564.820767,268.682653,145.827718,44.100601,11.346757,0,0,0,17.378161,49.667951,40.792702,30.561702,12.148595,3.769935,0,0,0,0.271158,2.081793,56.4457828619529,0.192458422743609,424.285714285714
"79","RawScanners","FBG3400",1288,2110,1040.66014,215.268387,0.26774,1.643929,1157.373724,185.679997,1267.151891,0.74,407.211694,347.502559,156.042835,85.820079,30.667259,12.185039,1.230675,0,0,63.501564,120.755564,94.645259,72.326713,33.574928,16.339144,1.924679,0,0,199.698977,379.808292,297.408067,227.221072,105.637989,51.330935,6.046559,0,0,8.517135,34.566901,45.692476,48.219047,29.061367,17.256828,2.366243,0,0,0.375355,2.027559,39.1225616541353,0.143257219031515,420.886075949367
"80","RawScanners","FFH9263",2744,3574,2183.314879,528.1907,0.30527,1.574891,3031.209407,300.048678,2478.920015,2.388,719.169723,979.343673,373.132881,80.895616,23.464059,5.828506,1.48042,0,0,115.477952,348.506539,221.427876,67.279244,25.593702,7.882023,2.256441,0,0,363.0073,1095.806351,696.091214,211.60775,80.556476,24.762107,7.088817,0,0,16.050703,101.875764,104.589881,44.34969,22.084325,8.396786,2.70153,0,0,0.348295,1.63696,68.7874883112791,0.105782835677083,260.16393442623
"81","RawScanners","FBF4179",4201,7105,3376.083059,650.099058,0.254,1.862667,4177.694823,446.011909,3545.393863,2.515,1533.878192,1157.150273,445.848836,164.713264,55.488994,16.268853,2.325841,0.408807,0,235.37788,399.474921,266.735955,138.395365,60.950811,21.745513,3.713398,0.737747,0,740.643855,1256.69062,838.958217,435.00366,191.629002,68.484822,11.665985,2.317702,0,31.53703,113.65541,127.208872,92.031121,52.857029,23.012101,4.6642,1.046145,0,0.324165,2.10451,77.8437412727692,0.0972395559958019,355.491803278689
"82","RawScanners","FFC7215",1251,1672,1056.099345,232.200252,0.26774,1.606437,1456.637541,132.640612,1125.691055,0.846,404.208306,454.402661,139.653,41.954789,11.690319,3.73913,0.45114,0,0,65.749156,155.82848,82.997305,34.874773,12.922111,4.885947,0.697842,0,0,206.652612,489.953943,261.078116,109.868388,40.596008,15.349654,2.192335,0,0,9.211874,43.922381,39.334563,23.040851,11.259608,5.023165,0.848169,0,0,0.330556,1.583184,97.5160983379501,0.081649201075761,384.042553191489
"83","RawScanners","FCH5965",2492,3456,1744.973304,308.252072,0.239473,1.197367,2447.001567,145.970827,1517.410689,2.47,901.846544,645.782917,158.531262,36.240003,2.572578,0,0,0,0,135.862016,219.741596,94.130125,30.092534,2.754886,0,0,0,0,427.231408,691.154395,295.71851,94.651646,8.65473,0,0,0,0,17.903151,61.476393,44.475775,19.791594,2.323913,0,0,0,0,0.268524,1.980546,150.558524935289,0.0793994268457491,298.711340206186
"84","RawScanners","FET3274",1423,1943,1383.28009,246.546102,0.18932,1.176227,2167.561753,97.120865,1100.017616,1.895,801.318659,472.658297,84.725643,21.330588,3.246903,0,0,0,0,122.101291,155.937675,50.377455,17.845621,3.448994,0,0,0,0,383.823212,490.679624,158.504303,56.175142,10.835335,0,0,0,0,16.156631,42.3263,23.898453,11.857261,2.882221,0,0,0,0,0.250269,1.404632,137.776901394422,0.103376344516701,525.65445026178
"85","RawScanners","FCX5914",565,653,469.569174,89.397671,0.18932,0.965349,736.75009,36.292687,392.562042,0.882,258.360025,164.913626,37.870673,8.42485,0,0,0,0,0,37.766657,58.118684,22.206273,6.751231,0,0,0,0,0,118.761507,182.827854,69.763063,21.209618,0,0,0,0,0,4.846897,16.830427,10.345326,4.270037,0,0,0,0,0,0.262359,1.390636,39.5593238416175,0.327063135336328,401.013513513514
