id,date,elevation_m_asl,site_id,aspect,species,plant_id,fire,root_depth_cm,no_root_scan,total_root_wet_mass_g,total_root_dry_mass_g,total_root_length_mm,total_root_volume_mm3,RD,BI,SRL,RTD,RDMC,no_tuber_scan,total_tuber_wet_mass_g,total_tuber_dry_mass_g,reproductive_height_cm,vegetative_height_cm,no_leaf,total_leaf_wet_mass_g,total_leaf_dry_mass_g,leaf_thick_1_mm,leaf_thick_2_mm,leaf_thick_3_mm,total_leaf_area_cm2,SLA,LT,LDMC,belowground_biomass_g,aboveground_biomass_g,ABG_BGB
FCU3875,12/6/2023,2200,2,west,SG,5,1,8,5,0.072,0.0218,1101.43895,127.17214,0.354316,0.34228,50.52472248,0.171421193,302.7777778,3,0.1772,0.0488,27.4,15.6,1,0.5447,0.1179,0.646,0.659,0.921,10.442,88.56658185,0.742,216.4494217,0.6642,0.5438,0.818729298
FCV8597,12/6/2023,2200,2,west,HPA,4,1,15,5,0.0498,0.0185,1009.189064,86.689275,0.305654,0.296277,54.55076022,0.213405868,371.4859438,5,0.5776,0.1581,27.5,7.5,1,0.8705,0.1887,1.039,1.142,1.105,18.178,96.33280339,1.095333333,216.7719701,5.0549,1.8183,0.35971038
FCW1015,12/8/2023,2600,4,west,HPA,2,1,9.8,5,0.0501,0.01431,830.649605,88.879016,0.326452,0.400891,58.0467928,0.161005383,285.6287425,5,0.7454,0.14541,30.1,6.5,1,1.6296,0.19215,0.836,0.936,0.908,15.302,79.63570128,0.893333333,117.9123711,6.33,2.02,0.319115324
FCX5914,12/8/2023,2600,4,west,TT,1,0,17,4,0.0296,0.01187,1095.216982,65.49297,0.255433,0.416356,92.26764802,0.181240826,401.0135135,NA,NA,NA,17.5,9.2,5,0.1726,0.05718,0.144,0.135,0.12,13.664,238.964673,0.133,331.2862109,6.23,2.96,0.475120385
FDB8375,12/8/2023,2600,4,west,HF,1,0,15.5,5,0.0229,0.01028,1272.809424,67.709641,0.246384,0.385761,123.8141463,0.15182476,448.9082969,NA,NA,NA,23.5,10,5,0.459,0.10583,0.36,0.366,0.32,11.294,106.7183218,0.348666667,230.5664488,18.99,2.69,0.141653502
FDF3034,12/9/2023,2400,3,west,HF,3,1,12,4,0.0372,0.0131,651.10214,52.992536,0.293245,0.307171,49.70245344,0.247204625,352.1505376,NA,NA,NA,22,15,5,0.852,0.17765,0.414,0.387,0.385,26.82,150.9710104,0.395333333,208.5093897,9.4,8.92,0.94893617
FDJ1565,12/9/2023,2400,3,west,HF,2,1,10,5,0.2574,0.10309,2471.003003,271.691198,0.326106,0.374342,23.9693763,0.37943813,400.5050505,NA,NA,NA,35.3,13.3,5,0.8073,0.12571,0.397,0.326,0.287,26.855,213.6266009,0.336666667,155.7165862,26.24,18.27,0.696265244
FDN1018,12/9/2023,2400,3,west,HF,1,1,13,4,0.1848,0.06653,1398.335213,204.599001,0.35809,0.396185,21.01811533,0.325172653,360.0108225,NA,NA,NA,28.6,13.5,5,0.6985,0.15285,0.372,0.333,0.33,21.979,143.7945698,0.345,218.8260558,15.24,62.17,4.079396325
FDR6843,12/9/2023,2400,3,west,TT,5,1,19.6,5,0.0381,0.01659,1321.921252,85.149809,0.260498,0.389584,79.68181145,0.194833085,435.4330709,NA,NA,NA,23.9,20.1,5,0.2408,0.0898,0.2,0.145,0.21,19.969,222.3719376,0.185,372.923588,10.9,2.35,0.21559633
FDV4335,12/9/2023,2400,3,west,TT,4,1,21.6,4,0.0436,0.01805,1325.862079,79.482784,0.252789,0.367308,73.45496283,0.227093203,413.9908257,NA,NA,NA,24.6,13.2,5,0.1258,0.04521,0.128,0.128,0.125,11.387,251.8690555,0.127,359.3799682,22.5,3.47,0.154222222
