barcode,date,elevation,siteID,aspect,project,sp,plantID,leafID,height,root_depth,grazing,fire,resprout,no_root_scan,root_wet_mass_g,no_tuber_scan,tuber_wet_mass_g,no_leaf,leaf_wet_mass_g,leaf_thick_1_mm,leaf_thick_2_mm,leaf_thick_3_mm,notes,drying_status,root_dry_mass,tuber_dry_mass,BGB,leaf_dry_mass,AGB
FBN8285,08/12/2023,2800,5,NW,R,HPA,5,7.8,4.1,10,,,,4,0.0248,5,0.6443,1,0.7515,0.784,0.861,0.705,,SfD14,,,,,
FFH9263,08/12/2023,2800,5,NW,R,TT,1,NA,13.2,20.4,,Y,,5,0.122,NA,NA,5,0.1446,0.158,0.12,0.14,,SfD14,,,,,
FBF4179,08/12/2023,2800,5,NW,R,TT,2,NA,12,28.8,,Y,,5,0.122,NA,NA,5,0.0868,0.108,0.214,0.131,,SfD14,,,,,
FFC7215,08/12/2023,2800,5,NW,R,TT,3,NA,15.2,19.2,,Y,,5,0.0282,NA,NA,5,0.1293,0.085,0.105,0.097,,SfD14,,,,,
FCH5965,08/12/2023,2800,5,NW,R,TT,4,NA,11.5,17.6,,Y,,5,0.0388,NA,NA,5,0.1094,0.111,0.096,0.096,,SfD14,,,,,
FET3274,08/12/2023,2800,5,NW,R,TT,5,NA,12,18,,Y,,5,0.0191,NA,NA,5,0.1717,0.136,0.121,0.177,,SfD14,,,,,
FGM0803,08/12/2023,2800,5,NW,R,HF,1,19.5,11,14.2,,Y,,5,0.0572,NA,NA,5,0.547,0.325,0.333,0.326,,SfD14,,,,,
FGN0784,08/12/2023,2800,5,NW,R,HF,2,17,8.1,21.1,,Y,,5,0.0298,NA,NA,5,0.4848,0.304,0.26,0.288,,SfD14,,,,,
FFX9242,08/12/2023,2800,5,NW,R,HF,3,18.6,10.8,23,,Y,,5,0.0747,NA,NA,5,0.4311,0.37,0.337,0.376,,SfD14,,,,,
FFP1160,08/12/2023,2800,5,NW,R,HF,4,21.6,7.1,17,,Y,,5,0.0572,NA,NA,5,0.4485,0.345,0.336,0.301,,SfD14,,,,,
FGF3594,08/12/2023,2800,5,NW,R,HF,5,23,10.4,15.6,,Y,,5,0.0417,NA,NA,5,0.5815,0.337,0.322,0.299,,SfD14,,,,,
FBZ6377,08/12/2023,2600,4,W,R,SG,1,30,14.6,17,,Y,,3,0.0316,5,0.2829,1,0.4762,0.543,0.541,0.569,,SfD14,,,,,
FBU8395,08/12/2023,2600,4,W,R,SG,2,36,18.2,16.5,,Y,Y,4,0.0355,5,0.6495,1,0.9809,0.681,0.641,0.623,,SfD14,,,,,
FCD2673,08/12/2023,2600,4,W,R,SG,3,41,19.5,15.4,,Y,Y,5,0.0245,5,0.4412,1,0.7751,0.513,0.534,0.468,,SfD14,,,,,
FBY9580,08/12/2023,2600,4,W,R,SG,4,18,11.7,16,,Y,,5,0.0611,5,0.203,1,0.8817,0.592,0.618,0.685,,SfD14,,,,,
FCL0130,08/12/2023,2600,4,W,R,SG,5,29.8,13.9,15.5,,Y,,5,0.0345,5,0.191,1,0.714,0.575,0.579,0.565,,SfD14,,,,,
FCK8784,08/12/2023,2600,4,W,R,HPA,1,21.5,5.3,8,,,,5,0.0135,4,0.2652,1,0.4502,0.895,0.95,0.872,,SfD14,,,,,
FCW1015,08/12/2023,2600,4,W,R,HPA,2,30.1,6.5,9.8,,Y,Y,5,0.0501,5,0.7454,1,1.6296,0.836,0.936,0.908,,SfD14,,,,,
FCO4501,08/12/2023,2600,4,W,R,HPA,3,21.2,5.1,7,,Y,Y,3,0.0146,5,0.6765,1,0.7561,0.897,1.004,0.96,,SfD14,,,,,
FCS7407,08/12/2023,2600,4,W,R,HPA,4,25.2,6.4,9,,Y,Y,5,0.0277,5,0.6582,1,0.8883,0.781,0.725,0.791,,SfD14,,,,,
FCC1836,08/12/2023,2600,4,W,R,HPA,5,25.3,3.8,10.2,,Y,Y,5,0.0427,5,0.5294,1,0.5966,0.926,0.994,0.914,,SfD14,,,,,
FCX5914,08/12/2023,2600,4,W,R,TT,1,17.5,9.2,17,,,,4,0.0296,NA,NA,5,0.1726,0.144,0.135,0.12,,Djoe,,,,,
FCT4052,08/12/2023,2600,4,W,R,TT,2,36.2,9.4,18,,Y,,4,0.0481,NA,NA,5,0.1821,0.11,0.123,0.116,,SfD14,,,,,
FCP0847,08/12/2023,2600,4,W,R,TT,3,22.5,21.5,14.8,,,,5,0.0304,NA,NA,4,0.1935,0.227,0.274,0.24,,Djoe,,,,,
FEP9413,08/12/2023,2600,4,W,R,TT,4,17.2,14.6,21.2,,,,5,0.024,NA,NA,5,0.1739,0.179,0.177,0.188,,Djoe,,,,,
FFO5284,08/12/2023,2600,4,W,R,TT,5,14,11.6,12.8,,Y,,4,0.0239,NA,NA,4,0.1521,0.203,0.299,0.301,,Djoe,,,,,
FDB8375,08/12/2023,2600,4,W,R,HF,1,23.5,10,15.5,,,,5,0.0229,NA,NA,5,0.459,0.36,0.366,0.32,,Djoe,,,,,
FEV1588,08/12/2023,2600,4,W,R,HF,2,17.7,7.5,20,,,,5,0.0223,NA,NA,5,0.5792,0.353,0.339,0.334,,Djoe,,,,,
FGK3505,08/12/2023,2600,4,W,R,HF,3,22.5,10.1,11.2,,,,5,0.0683,NA,NA,5,0.5442,0.395,0.402,0.386,,Djoe,,,,,
FEZ5712,08/12/2023,2600,4,W,R,HF,4,24,9.7,19.6,,Y,,5,0.0153,NA,NA,4,0.496,0.379,0.329,0.309,No 3rd order roots,Djoe,,,,,
FFD9944,08/12/2023,2600,4,W,R,HF,5,22,6.8,15,,,,4,0.0428,NA,NA,5,0.3042,0.29,0.332,0.311,,Djoe,,,,,
FEY3832,08/12/2023,2600,4,W,R,EC,1,19.4,7.5,11,,,,4,0.0298,NA,NA,4,0.1059,0.17,0.164,0.166,,Djoe,,,,,
FGO9191,08/12/2023,2600,4,W,R,EC,2,10,6,15.4,,,,4,0.0515,NA,NA,5,0.8,0.154,0.158,0.172,,Djoe,,,,,
