SCAN FILE, #, TYPE, POSITION (m), DEPTH (m), AMPLITUDE, PIXEL COUNT
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 8.26, 0.09, 5.0, 1537
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 8.37, 0.08, 1.4, 206
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 8.55, 0.07, 4.8, 1894
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 8.64, 0.10, 2.5, 435
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 8.80, 0.08, 2.7, 1360
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 8.89, 0.05, 3.3, 171
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 8.96, 0.06, 2.7, 1986
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 9.14, 0.08, 2.5, 621
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 9.43, 0.05, 3.6, 679
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 9.66, 0.06, 6.6, 2088
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 9.77, 0.08, 2.0, 278
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 10.04, 0.06, 3.0, 486
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 10.13, 0.10, 1.6, 334
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 10.14, 0.04, 5.5, 1562
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 10.28, 0.09, 3.7, 597
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 10.37, 0.08, 1.7, 482
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 10.63, 0.05, 24.9, 3605
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 10.75, 0.06, 2.2, 491
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 10.84, 0.05, 1.8, 173
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 10.97, 0.08, 2.5, 1411
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 11.06, 0.10, 1.4, 280
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 11.11, 0.06, 3.8, 1295
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 11.43, 0.08, 2.3, 753
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 11.50, 0.02, 38.9, 5518
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 11.64, 0.06, 10.1, 2537
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 11.79, 0.06, 6.4, 643
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 11.86, 0.09, 2.8, 685
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 12.04, 0.10, 1.0, 249
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 12.11, 0.06, 7.2, 1094
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 12.25, 0.06, 3.3, 608
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 12.38, 0.06, 5.8, 866
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 12.57, 0.08, 1.2, 300
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 12.68, 0.08, 1.9, 1421
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 12.81, 0.09, 2.0, 402
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 13.03, 0.08, 3.4, 1544
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 13.12, 0.03, 8.3, 1278
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 13.22, 0.06, 3.8, 1416
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 13.43, 0.04, 7.6, 894
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 13.51, 0.05, 2.1, 781
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 13.52, 0.12, 1.2, 410
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 13.65, 0.05, 34.0, 3511
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 13.76, 0.05, 16.8, 820
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 13.89, 0.02, 26.5, 2906
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 13.94, 0.06, 2.2, 727
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 14.08, 0.06, 4.3, 827
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 14.11, 0.10, 2.3, 563
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 14.27, 0.08, 4.1, 1228
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 14.43, 0.05, 28.7, 1717
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 14.68, 0.07, 2.6, 1046
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 14.85, 0.06, 2.3, 477
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 14.91, 0.01, 13.6, 774
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 15.26, 0.06, 7.4, 2423
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 15.51, 0.07, 2.4, 686
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 15.58, 0.06, 4.5, 479
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 15.66, 0.09, 2.8, 872
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 15.83, 0.07, 2.4, 247
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 15.93, 0.08, 2.8, 943
