source,id,total_root_length,total_root_volume,rd,bi,srl,rtd,rdmc
raw,FCI1638,1652.478178,118.02957,0.243516,1.903202,117.19703390070923,0.11946158915939453,792.1348314606741
raw,FBW8179,2062.974175,234.349138,0.305641,1.898715,65.9097180511182,0.13356140443751066,299.8084291187739
raw,FBC0289,1519.41547,133.943534,0.275357,2.014591,83.02816775956283,0.13662473621160393,347.24857685009493
raw,FCE1581,1595.675228,158.137153,0.28224,2.529337,89.64467573033708,0.11256051890601572,37.39495798319328
raw,FCA5827,983.099394,30.641817,0.174889,2.394468,70.72657510791367,0.4536284516025926,463.3333333333333
raw,FEY3832,633.690198,54.651946,0.260533,2.223484,59.613377046095955,0.19450359553528065,356.7114093959732
raw,FGO9191,1518.369989,202.528313,0.333035,1.566812,105.44236034722222,0.07110116993864458,279.61165048543694
raw,FEL2208,910.607354,50.379314,0.22313,2.122759,90.87897744510978,0.1988911560010523,385.38461538461536
raw,FFY6725,2087.585739,148.24241,0.238948,1.908904,104.37928695000001,0.134914158505653,249.68789013732834
raw,FGG8281,1866.129859,158.288901,0.26257,1.772117,74.70495832666133,0.15781270728514313,332.1808510638298
raw,FGE4515,1141.113719,149.616464,0.320884,2.210998,66.45973902154921,0.1147600975250959,402.10772833723655
raw,FGJ9233,1753.505553,79.055751,0.198436,2.075842,126.42433691420332,0.17544580659286887,308.9086859688196
raw,FGA6390,2457.677722,414.019785,0.351271,2.155287,72.58351216774956,0.08178353119042367,315.85820895522386
raw,FEC6189,965.511711,59.215331,0.225513,1.791796,106.80439280973452,0.1526631675840839,322.85714285714283
raw,FGB1616,909.689338,171.380309,0.368141,1.544483,54.14817488095239,0.09802759779129584,330.70866141732284
raw,FGM0803,1654.906058,190.763355,0.303984,1.536643,76.90083912639406,0.1128099262041182,376.2237762237762
raw,FGN0784,945.454826,67.87893,0.245487,1.949326,91.1721143683703,0.15277200156219317,347.9865771812081
raw,FFX9242,1708.933059,269.694554,0.362014,1.665952,69.38420864799026,0.09132553711114241,329.718875502008
raw,FFP1160,1815.108098,218.492592,0.313153,1.446195,99.34910224411603,0.08361839562963307,319.40559440559446
raw,FGF3594,1252.49505,99.326641,0.271142,1.481044,80.54630546623795,0.1565541716043735,372.9016786570743
raw,FDB8375,803.764237,40.188811,0.218289,1.540253,78.18718258754865,0.25579258863866355,448.9082969432314
raw,FEV1588,565.14397,47.170917,0.267726,1.845547,61.899668127053666,0.19355146307628487,409.4170403587443
raw,FGK3505,1617.854709,122.112826,0.253746,2.229496,48.366359013452914,0.2739269992817953,489.7510980966326
raw,FEZ5712,377.564815,41.656384,0.329358,1.446109,99.8848716931217,0.09074239377090434,247.05882352941177
raw,FFD9944,1520.247271,95.100414,0.225376,1.978625,141.94652390289448,0.1126178062694869,250.23364485981313
raw,FDN1018,2426.371489,647.35894,0.442273,1.649789,36.470336524876,0.10277142384099927,360.01082251082255
raw,FDJ1565,6494.405199,1868.947475,0.438742,2.254402,62.99743136094674,0.055159388575112316,400.50505050505046
raw,FDF3034,1330.763647,171.248368,0.319293,2.47001,101.58501122137403,0.07649707937654623,352.1505376344087
raw,FGI9956,2767.791777,411.004713,0.341226,2.398302,87.89430857415053,0.0766171262858487,387.807881773399
raw,FES3675,1612.943719,305.351888,0.367154,1.99449,108.106147386059,0.04886165956832073,227.43902439024387
raw,FFK2932,1846.971463,206.764945,0.316366,1.68871,51.591381648044695,0.17314346975015518,552.4691358024692
raw,FFL3841,1345.406836,115.560073,0.280218,2.038045,70.69925570152392,0.1646762545745363,442.5581395348837
raw,FFW6775,1661.833203,128.016455,0.270851,1.764918,87.23533874015747,0.14880899490616264,409.6774193548387
