File.Name,date,elevation,siteID,aspect,project,sp,plantID,leafID,height,root_depth,grazing,fire,resprout,no_root_scan,root_wet_mass_g,no_tuber_scan,tuber_wet_mass_g,no_leaf,leaf_wet_mass_g,leaf_thick_1_mm,leaf_thick_2_mm,leaf_thick_3_mm,root_dry_mass,tuber_dry_mass,BGB,leaf_dry_mass,AGB,leaf_area_nr,leaf_area
FCG9760,12/09/2023,2400,3,W,R,SG,4,35.6,20,10,,,,5,0.3908,5,0.0123,1,0.4215,0.439,0.479,0.453,0.00679,0.12031,4.64,0.06366,1.05,2,8.964
FCH5965,12/08/2023,2800,5,NW,R,TT,4,NA,11.5,17.6,,Y,,5,0.0388,NA,NA,5,0.1094,0.111,0.096,0.096,0.01159,NA,4.77,0.03535,2.42,5,7.494
FCI1638,12/05/2023,2200,2,W,R,EC,1,29.4,5.8,13.1,Y,Y,,5,0.0178,NA,NA,5,0.1573,0.213,0.226,0.364,0.0141,NA,1.555,0.0471,0.5168,5,6.012
FCJ1591,12/06/2023,2200,2,W,R,SG,3,21.5,17.2,13.7,N,Y,Y,5,0.0249,3,0.3529,1,1.3984,0.706,0.706,0.625,0.0076,0.1016,0.7639,0.2766,0.6535,1,27.513
FCK8784,12/08/2023,2600,4,W,R,HPA,1,21.5,5.3,8,,,,5,0.0135,4,0.2652,1,0.4502,0.895,0.95,0.872,0.00865,0.05608,2.58,0.09691,0.94,1,8.338
FCL0130,12/08/2023,2600,4,W,R,SG,5,29.8,13.9,15.5,,Y,,5,0.0345,5,0.191,1,0.714,0.575,0.579,0.565,0.01325,0.05992,0.61,0.10252,0.55,1,14.687
FCM1008,12/05/2023,2200,2,W,R,TT,2,25.8,15.5,14.8,N,Y,,5,0.0777,NA,NA,5,0.1016,0.178,0.133,0.12,0.0322,NA,3.775,0.0353,3.049,6,9.166
FCN7125,12/06/2023,2200,2,W,R,SG,4,37.2,19.8,10,N,Y,Y,4,0.0537,4,0.1616,1,0.9094,0.632,0.624,0.627,0.0155,0.0572,0.6067,0.1676,0.8331,1,16.615
FCO4501,12/08/2023,2600,4,W,R,HPA,3,21.2,5.1,7,,Y,Y,3,0.0146,5,0.6765,1,0.7561,0.897,1.004,0.96,0.00493,0.1592,1.17,0.15403,1.04,1,14.178
FCP0847,12/08/2023,2600,4,W,R,TT,3,22.5,21.5,14.8,,,,5,0.0304,NA,NA,4,0.1935,0.227,0.274,0.24,0.0105,NA,7.5,0.04616,1.75,5,8.839
FCQ4012,12/06/2023,2200,2,W,R,HPA,5,19.5,7.5,9,N,Y,,5,0.0997,5,0.7861,1,1.0034,1.037,1.351,1.308,0.0482,0.2234,10.9958,0.2235,2.5699,1,19.653
FCR0255,12/06/2023,2200,2,W,R,HPA,3,9.1,10,9,N,Y,N,4,0.0088,5,0.8201,1,1.5822,1.096,1.168,1.48,0.0032,0.183,6.0972,0.2741,2.7975,1,24.207
FCS7407,12/08/2023,2600,4,W,R,HPA,4,25.2,6.4,9,,Y,Y,5,0.0277,5,0.6582,1,0.8883,0.781,0.725,0.791,0.01312,0.12652,4.2,0.13588,1.63,1,15.074
FCT4052,12/08/2023,2600,4,W,R,TT,2,36.2,9.4,18,,Y,,4,0.0481,NA,NA,5,0.1821,0.11,0.123,0.116,0.01797,NA,2.86,0.06666,0.5,5,14.458
FCU3875,12/06/2023,2200,2,W,R,SG,5,27.4,15.6,8,Y,Y,Y,5,0.072,3,0.1772,1,0.5447,0.646,0.659,0.921,0.0218,0.0488,0.6642,0.1179,0.5438,1,10.442
FCV8597,12/06/2023,2200,2,W,R,HPA,4,27.5,7.5,15,N,Y,N,5,0.0498,5,0.5776,1,0.8705,1.039,1.142,1.105,0.0185,0.1581,5.0549,0.1887,1.8183,1,18.178
FCW1015,12/08/2023,2600,4,W,R,HPA,2,30.1,6.5,9.8,,Y,Y,5,0.0501,5,0.7454,1,1.6296,0.836,0.936,0.908,0.01431,0.14541,6.33,0.19215,2.02,1,15.302
