File.Name,Region.of.Interest,Number.of.Root.Tips,Number.of.Branch.Points,Total.Root.Length.mm,Branching.frequency.per.mm,Network.Area.mm2,Average.Diameter.mm,Median.Diameter.mm,Maximum.Diameter.mm,Perimeter.mm,Volume.mm3,Surface.Area.mm2,Computation.Time.s,Root.Length.Diameter.Range.1.mm,Root.Length.Diameter.Range.2.mm,Root.Length.Diameter.Range.3.mm,Root.Length.Diameter.Range.4.mm,Root.Length.Diameter.Range.5.mm,Root.Length.Diameter.Range.6.mm,Root.Length.Diameter.Range.7.mm,Root.Length.Diameter.Range.8.mm,Root.Length.Diameter.Range.9.mm,Projected.Area.Diameter.Range.1.mm2,Projected.Area.Diameter.Range.2.mm2,Projected.Area.Diameter.Range.3.mm2,Projected.Area.Diameter.Range.4.mm2,Projected.Area.Diameter.Range.5.mm2,Projected.Area.Diameter.Range.6.mm2,Projected.Area.Diameter.Range.7.mm2,Projected.Area.Diameter.Range.8.mm2,Projected.Area.Diameter.Range.9.mm2,Surface.Area.Diameter.Range.1.mm2,Surface.Area.Diameter.Range.2.mm2,Surface.Area.Diameter.Range.3.mm2,Surface.Area.Diameter.Range.4.mm2,Surface.Area.Diameter.Range.5.mm2,Surface.Area.Diameter.Range.6.mm2,Surface.Area.Diameter.Range.7.mm2,Surface.Area.Diameter.Range.8.mm2,Surface.Area.Diameter.Range.9.mm2,Volume.Diameter.Range.1.mm3,Volume.Diameter.Range.2.mm3,Volume.Diameter.Range.3.mm3,Volume.Diameter.Range.4.mm3,Volume.Diameter.Range.5.mm3,Volume.Diameter.Range.6.mm3,Volume.Diameter.Range.7.mm3,Volume.Diameter.Range.8.mm3,Volume.Diameter.Range.9.mm3
FBP4231,Full,239,477,1119.29945,0.426159,294.606938,0.313972,0.254,1.81787,2056.759595,114.149411,1098.936972,3.951,516.956087,447.573751,124.83457,21.245405,4.660191,2.108157,1.31835,0.602938,0,96.396233,151.35296,73.107493,17.665085,5.16445,2.824114,2.126581,1.076742,0,302.837696,475.584893,229.746063,55.60797,16.224598,8.872215,6.680851,3.382684,0,14.669651,42.069292,34.035334,11.676052,4.511144,2.979268,2.698379,1.510291,0
FBM2759,Full,235,581,1369.442893,0.42426,349.441953,0.304636,0.254,1.232765,2500.015435,127.893169,1299.229353,5.619,670.786373,526.155258,133.31774,36.79055,2.392973,0,0,0,0,123.386808,177.519755,79.596427,30.513721,2.540836,0,0,0,0,387.631091,557.694757,250.059551,95.861682,7.982273,0,0,0,0,18.629198,49.347421,37.790846,20.000657,2.125047,0,0,0,0
FBH8238,Full,193,397,990.2572,0.400906,190.653741,0.224573,0.18932,0.72833,1872.244765,44.169911,692.920798,3.822,707.939997,266.377262,15.939942,0,0,0,0,0,0,128.772724,82.845803,8.9146,0,0,0,0,0,0,404.551443,260.363312,28.006043,0,0,0,0,0,0,19.10851,21.110211,3.95119,0,0,0,0,0,0
FBZ6377,Full,123,289,708.271098,0.408036,183.766658,0.300308,0.26774,0.863434,1326.007219,57.981301,664.84911,2.347,269.788439,392.021755,41.205037,5.255867,0,0,0,0,0,52.409363,130.883085,24.20574,4.106907,0,0,0,0,0,164.648869,411.181339,76.116674,12.902228,0,0,0,0,0,8.357399,35.77062,11.329308,2.523975,0,0,0,0,0
FBU8395,Full,156,284,929.447789,0.305558,234.605266,0.285861,0.254,0.946602,1775.188088,69.021513,833.920674,5.665,387.834545,486.397547,52.060724,3.154973,0,0,0,0,0,75.37331,157.193673,30.239507,2.536958,0,0,0,0,0,236.808163,494.073716,95.068705,7.97009,0,0,0,0,0,11.980122,41.47908,13.95349,1.608821,0,0,0,0,0
FCD2673,Full,169,294,774.377249,0.37966,193.08922,0.28904,0.254,1.322536,1446.971619,60.463096,701.173725,4.247,326.571627,403.726689,34.037121,7.842971,1.652762,0.546079,0,0,0,62.98691,131.342417,19.799495,6.514393,1.810521,0.693593,0,0,0,197.879214,412.672144,62.289893,20.465569,5.68792,2.178986,0,0,0,9.937837,34.808007,9.183109,4.278097,1.56389,0.692157,0,0,0
FBY9580,Full,324,804,1694.492016,0.474478,396.628239,0.284323,0.254,1.325243,3061.226697,132.563228,1501.544111,4.971,847.347594,711.159896,115.181236,16.805906,3.683516,0.313868,0,0,0,155.501304,236.245181,68.076328,13.663571,4.000408,0.403648,0,0,0,488.537678,742.28167,213.963637,42.925376,12.567653,1.268097,0,0,0,23.461509,64.468451,32.025593,8.776515,3.423288,0.407871,0,0,0
FCL0130,Full,192,382,1163.305662,0.328375,285.366813,0.28242,0.254,1.212242,2191.698375,83.603139,1027.738685,7.829,503.047113,609.473113,43.168659,6.330489,1.286289,0,0,0,0,99.29986,196.531928,24.539144,5.311403,1.410606,0,0,0,0,311.959711,617.569165,77.091994,16.686265,4.43155,0,0,0,0,15.920757,51.852724,11.085791,3.523197,1.22067,0,0,0,0
FFU7165,Full,119,432,965.296483,0.447531,310.440239,0.375633,0.338667,1.554273,1764.423012,128.564625,1133.563339,3.551,216.670326,550.921217,163.165321,28.61493,4.169726,1.328622,0.426342,0,0,40.981331,193.167231,95.925003,23.605153,4.504576,1.837953,0.648035,0,0,128.746649,607.340125,301.357286,74.157774,14.151544,5.774099,2.035862,0,0,6.43452,55.323721,44.810975,15.386951,3.831026,2.003742,0.773689,0,0
FFT9800,Full,54,150,529.047382,0.283528,146.345585,0.314897,0.30527,0.863434,997.900841,46.559796,520.976338,2.694,166.212982,324.536869,37.003979,1.293552,0,0,0,0,0,32.416419,111.254607,21.097072,1.030338,0,0,0,0,0,101.839182,349.621846,66.278407,3.236903,0,0,0,0,0,5.178409,31.20544,9.52998,0.645967,0,0,0,0,0
