SCAN FILE, #, TYPE, POSITION (m), DEPTH (m), AMPLITUDE, PIXEL COUNT
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 10.17, 0.11, 2.3, 1279
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 10.43, 0.08, 5.0, 1176
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 10.55, 0.09, 5.2, 3184
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 10.81, 0.04, 4.2, 783
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 10.96, 0.05, 3.1, 279
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 11.05, 0.08, 2.3, 724
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 11.24, 0.07, 3.5, 273
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 11.30, 0.09, 1.3, 415
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 11.56, 0.07, 7.9, 2345
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 11.71, 0.09, 1.5, 421
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 11.89, 0.08, 2.2, 442
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 12.28, 0.09, 2.8, 800
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 12.38, 0.07, 3.1, 611
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 12.43, 0.06, 1.7, 233
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 12.51, 0.04, 12.6, 1300
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 12.57, 0.07, 2.2, 436
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 12.64, 0.10, 1.3, 336
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 12.76, 0.06, 3.7, 679
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 13.07, 0.06, 3.8, 1201
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 13.26, 0.09, 3.7, 1852
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 13.44, 0.07, 1.9, 281
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 13.56, 0.08, 1.7, 660
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 13.73, 0.08, 1.2, 147
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 13.80, 0.10, 1.5, 458
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 13.97, 0.09, 0.9, 95
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 14.41, 0.05, 3.4, 749
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 14.48, 0.02, 25.7, 2531
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 14.58, 0.06, 2.1, 871
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 14.65, 0.10, 1.4, 290
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 14.67, 0.04, 2.9, 359
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 14.70, 0.14, 1.5, 693
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 14.73, 0.06, 2.4, 618
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 14.85, 0.06, 1.4, 215
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 14.91, 0.10, 3.0, 2159
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 15.02, 0.05, 1.9, 195
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 15.19, 0.09, 6.4, 1625
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 15.51, 0.09, 3.1, 777
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 15.79, 0.11, 5.5, 2678
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 16.35, 0.02, 15.1, 5241
ROOT_PFTC_SITE4_(nogp)_0005, -, MARKER, 0.00, -, -, -
ROOT_PFTC_SITE4_(nogp)_0005, -, MARKER, 1.30, -, -, -
ROOT_PFTC_SITE4_(nogp)_0005, -, MARKER, 3.90, -, -, -
ROOT_PFTC_SITE4_(nogp)_0005, -, MARKER, 5.09, -, -, -
ROOT_PFTC_SITE4_(nogp)_0005, -, MARKER, 7.53, -, -, -
ROOT_PFTC_SITE4_(nogp)_0005, -, MARKER, 8.75, -, -, -
ROOT_PFTC_SITE4_(nogp)_0005, -, MARKER, 11.32, -, -, -
ROOT_PFTC_SITE4_(nogp)_0005, -, MARKER, 11.50, -, -, -
ROOT_PFTC_SITE4_(nogp)_0005, -, MARKER, 12.53, -, -, -
ROOT_PFTC_SITE4_(nogp)_0005, -, MARKER, 15.22, -, -, -

TBA Density Info
# Total Detections = 104, 6.30, #/m
Zone 1: 0-20 cm
# Detections = 104, 6.30, #/m
Zone 2: 20-41 cm
# Detections = 0, 0.00, #/m
Zone 3: 41 cm -
# Detections = 0, 0.00, #/m
