SCAN FILE, #, TYPE, POSITION (m), DEPTH (m), AMPLITUDE, PIXEL COUNT
site3-2-ROOT_PFTC_SITE3_0002, , DETECT, 0.04, 0.09, 3.1, 140
site3-2-ROOT_PFTC_SITE3_0002, , DETECT, 0.13, 0.11, 3.5, 353
site3-2-ROOT_PFTC_SITE3_0002, , DETECT, 0.26, 0.07, 26.5, 2285
site3-2-ROOT_PFTC_SITE3_0002, , DETECT, 0.51, 0.09, 14.2, 1082
site3-2-ROOT_PFTC_SITE3_0002, , DETECT, 0.67, 0.11, 3.2, 351
site3-2-ROOT_PFTC_SITE3_0002, , DETECT, 0.88, 0.03, 55.4, 3002
site3-2-ROOT_PFTC_SITE3_0002, , DETECT, 0.96, 0.05, 5.3, 239
site3-2-ROOT_PFTC_SITE3_0002, , DETECT, 1.23, 0.06, 6.4, 889
site3-2-ROOT_PFTC_SITE3_0002, , DETECT, 1.32, 0.04, 12.1, 968
site3-2-ROOT_PFTC_SITE3_0002, , DETECT, 1.44, 0.07, 12.1, 1429
site3-2-ROOT_PFTC_SITE3_0002, , DETECT, 1.58, 0.08, 6.9, 406
site3-2-ROOT_PFTC_SITE3_0002, , DETECT, 1.67, 0.12, 4.1, 315
site3-2-ROOT_PFTC_SITE3_0002, , DETECT, 1.95, 0.04, 24.0, 1796
site3-2-ROOT_PFTC_SITE3_0002, , DETECT, 2.11, 0.05, 4.6, 235
site3-2-ROOT_PFTC_SITE3_0002, , DETECT, 2.29, 0.09, 4.0, 625
site3-2-ROOT_PFTC_SITE3_0002, , DETECT, 2.38, 0.05, 15.8, 987
site3-2-ROOT_PFTC_SITE3_0002, , DETECT, 2.51, 0.22, 2.4, 142
site3-2-ROOT_PFTC_SITE3_0002, , DETECT, 2.53, 0.10, 3.4, 206
site3-2-ROOT_PFTC_SITE3_0002, , DETECT, 2.65, 0.08, 6.9, 880
site3-2-ROOT_PFTC_SITE3_0002, , DETECT, 2.79, 0.04, 51.3, 1559
site3-2-ROOT_PFTC_SITE3_0002, , DETECT, 2.94, 0.06, 19.3, 864
site3-2-ROOT_PFTC_SITE3_0002, , DETECT, 3.00, 0.07, 5.1, 325
site3-2-ROOT_PFTC_SITE3_0002, , DETECT, 3.21, 0.04, 45.3, 1358
site3-2-ROOT_PFTC_SITE3_0002, , DETECT, 3.27, 0.08, 4.7, 371
site3-2-ROOT_PFTC_SITE3_0002, , DETECT, 3.37, 0.04, 15.2, 731
site3-2-ROOT_PFTC_SITE3_0002, , DETECT, 3.50, 0.08, 7.2, 1372
site3-2-ROOT_PFTC_SITE3_0002, , DETECT, 3.87, 0.05, 21.5, 1621
site3-2-ROOT_PFTC_SITE3_0002, , DETECT, 4.06, 0.07, 3.5, 177
site3-2-ROOT_PFTC_SITE3_0002, , DETECT, 4.20, 0.07, 50.0, 1377
site3-2-ROOT_PFTC_SITE3_0002, , DETECT, 4.55, 0.08, 5.2, 592
site3-2-ROOT_PFTC_SITE3_0002, , DETECT, 4.65, 0.04, 16.4, 914
site3-2-ROOT_PFTC_SITE3_0002, , DETECT, 4.95, 0.07, 6.6, 360
site3-2-ROOT_PFTC_SITE3_0002, , DETECT, 5.09, 0.02, 24.6, 1447
site3-2-ROOT_PFTC_SITE3_0002, , DETECT, 5.22, 0.04, 14.6, 1223
site3-2-ROOT_PFTC_SITE3_0002, , DETECT, 5.35, 0.06, 4.5, 438
site3-2-ROOT_PFTC_SITE3_0002, , DETECT, 5.49, 0.06, 8.0, 700
site3-2-ROOT_PFTC_SITE3_0002, , DETECT, 5.69, 0.03, 24.3, 1294
site3-2-ROOT_PFTC_SITE3_0002, , DETECT, 5.73, 0.10, 4.9, 420
site3-2-ROOT_PFTC_SITE3_0002, , DETECT, 5.89, 0.06, 4.1, 407
