SCAN FILE, #, TYPE, POSITION (m), DEPTH (m), AMPLITUDE, PIXEL COUNT
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 3.95, 0.06, 4.7, 1289
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 4.15, 0.03, 30.5, 1733
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 4.33, 0.05, 2.2, 432
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 4.42, 0.09, 1.4, 450
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 4.48, 0.06, 2.5, 481
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 4.68, 0.05, 1.9, 359
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 4.74, 0.10, 1.4, 586
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 5.07, 0.09, 1.1, 190
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 5.26, 0.10, 2.7, 1248
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 5.30, 0.05, 2.7, 1888
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 5.49, 0.05, 3.8, 372
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 5.71, 0.10, 1.1, 379
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 5.94, 0.06, 2.8, 441
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 6.29, 0.10, 1.4, 317
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 6.42, 0.17, 0.8, 106
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 6.53, 0.08, 1.9, 1063
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 6.75, 0.08, 2.3, 923
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 6.90, 0.08, 2.2, 752
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 6.96, 0.12, 1.2, 270
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 7.02, 0.07, 1.1, 188
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 7.08, 0.14, 1.1, 165
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 7.26, 0.07, 2.3, 1058
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 7.33, 0.11, 1.1, 395
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 7.61, 0.07, 0.9, 155
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 7.79, 0.06, 2.7, 1243
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 7.80, 0.13, 1.1, 194
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 8.02, 0.11, 1.4, 132
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 8.08, 0.16, 0.9, 127
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 8.13, 0.13, 1.0, 173
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 8.18, 0.05, 12.8, 1416
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 8.26, 0.04, 1.3, 111
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 8.38, 0.10, 1.2, 237
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 8.49, 0.09, 2.3, 576
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 8.59, 0.03, 12.1, 1202
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 8.67, 0.05, 3.2, 344
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 8.78, 0.08, 2.0, 346
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 8.89, 0.06, 1.9, 573
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 9.11, 0.05, 8.6, 1764
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 9.20, 0.11, 1.8, 670
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 9.31, 0.13, 1.2, 317
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 9.39, 0.11, 2.1, 883
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 9.68, 0.08, 2.1, 933
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 9.80, 0.17, 1.1, 236
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 9.84, 0.11, 1.7, 620
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 10.01, 0.09, 2.7, 691
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 10.30, 0.15, 0.9, 158
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 10.43, 0.05, 4.8, 1099
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 10.58, 0.12, 1.5, 426
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 10.61, 0.05, 1.9, 543
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 10.70, 0.10, 1.8, 325
