SCAN FILE, #, TYPE, POSITION (m), DEPTH (m), AMPLITUDE, PIXEL COUNT
site4-1-ROOT_PFTC_SITE4_(nogp)_0003, , DETECT, 0.00, 0.02, 34.4, 521
site4-1-ROOT_PFTC_SITE4_(nogp)_0003, , DETECT, 0.09, 0.07, 3.8, 206
site4-1-ROOT_PFTC_SITE4_(nogp)_0003, , DETECT, 0.18, 0.06, 5.1, 422
site4-1-ROOT_PFTC_SITE4_(nogp)_0003, , DETECT, 0.51, 0.06, 7.6, 908
site4-1-ROOT_PFTC_SITE4_(nogp)_0003, , DETECT, 0.63, 0.08, 4.2, 507
site4-1-ROOT_PFTC_SITE4_(nogp)_0003, , DETECT, 0.68, 0.03, 15.5, 2646
site4-1-ROOT_PFTC_SITE4_(nogp)_0003, , DETECT, 0.91, 0.07, 4.4, 477
site4-1-ROOT_PFTC_SITE4_(nogp)_0003, , DETECT, 1.13, 0.06, 11.9, 3204
site4-1-ROOT_PFTC_SITE4_(nogp)_0003, , DETECT, 1.28, 0.05, 6.6, 963
site4-1-ROOT_PFTC_SITE4_(nogp)_0003, , DETECT, 1.43, 0.07, 2.7, 212
site4-1-ROOT_PFTC_SITE4_(nogp)_0003, , DETECT, 1.51, 0.04, 10.9, 1473
site4-1-ROOT_PFTC_SITE4_(nogp)_0003, , DETECT, 1.60, 0.05, 7.2, 531
site4-1-ROOT_PFTC_SITE4_(nogp)_0003, , DETECT, 2.00, 0.07, 3.2, 171
site4-1-ROOT_PFTC_SITE4_(nogp)_0003, , DETECT, 2.13, 0.06, 18.2, 1559
site4-1-ROOT_PFTC_SITE4_(nogp)_0003, , DETECT, 2.28, 0.03, 7.3, 432
site4-1-ROOT_PFTC_SITE4_(nogp)_0003, , DETECT, 2.64, 0.05, 16.3, 2682
site4-1-ROOT_PFTC_SITE4_(nogp)_0003, , DETECT, 2.75, 0.05, 4.0, 208
site4-1-ROOT_PFTC_SITE4_(nogp)_0003, , DETECT, 2.89, 0.06, 2.6, 211
site4-1-ROOT_PFTC_SITE4_(nogp)_0003, , DETECT, 3.09, 0.05, 8.4, 631
site4-1-ROOT_PFTC_SITE4_(nogp)_0003, , DETECT, 3.19, 0.04, 22.0, 1056
site4-1-ROOT_PFTC_SITE4_(nogp)_0003, , DETECT, 3.36, 0.05, 9.0, 1056
site4-1-ROOT_PFTC_SITE4_(nogp)_0003, , DETECT, 3.49, 0.04, 27.5, 2083
site4-1-ROOT_PFTC_SITE4_(nogp)_0003, , DETECT, 3.67, 0.03, 7.6, 1075
site4-1-ROOT_PFTC_SITE4_(nogp)_0003, , DETECT, 3.86, 0.01, 23.5, 401
site4-1-ROOT_PFTC_SITE4_(nogp)_0003, , DETECT, 4.00, 0.04, 18.6, 1056
site4-1-ROOT_PFTC_SITE4_(nogp)_0003, , DETECT, 4.12, 0.09, 3.1, 244
site4-1-ROOT_PFTC_SITE4_(nogp)_0003, , DETECT, 4.27, 0.06, 3.8, 710
site4-1-ROOT_PFTC_SITE4_(nogp)_0003, , DETECT, 4.44, 0.05, 6.2, 300
site4-1-ROOT_PFTC_SITE4_(nogp)_0003, , DETECT, 4.61, 0.03, 21.5, 1237
site4-1-ROOT_PFTC_SITE4_(nogp)_0003, , DETECT, 4.78, 0.05, 13.7, 761
site4-1-ROOT_PFTC_SITE4_(nogp)_0003, , DETECT, 5.40, 0.06, 2.4, 212
site4-1-ROOT_PFTC_SITE4_(nogp)_0003, , DETECT, 5.48, 0.02, 20.2, 586
site4-1-ROOT_PFTC_SITE4_(nogp)_0003, , DETECT, 5.55, 0.04, 4.2, 380
site4-1-ROOT_PFTC_SITE4_(nogp)_0003, , DETECT, 5.74, 0.03, 6.7, 706
site4-1-ROOT_PFTC_SITE4_(nogp)_0003, , DETECT, 6.03, 0.04, 25.9, 1137
site4-1-ROOT_PFTC_SITE4_(nogp)_0003, , DETECT, 6.17, 0.09, 3.0, 320
site4-1-ROOT_PFTC_SITE4_(nogp)_0003, , DETECT, 6.31, 0.06, 25.5, 4645
site4-1-ROOT_PFTC_SITE4_(nogp)_0003, , DETECT, 6.52, 0.09, 2.5, 236
site4-1-ROOT_PFTC_SITE4_(nogp)_0003, , DETECT, 6.61, 0.04, 10.4, 1036
site4-1-ROOT_PFTC_SITE4_(nogp)_0003, , DETECT, 6.73, 0.09, 2.1, 139
site4-1-ROOT_PFTC_SITE4_(nogp)_0003, , DETECT, 6.86, 0.06, 4.9, 1485
site4-1-ROOT_PFTC_SITE4_(nogp)_0003, , DETECT, 6.97, 0.04, 17.5, 854
