SCAN FILE, #, TYPE, POSITION (m), DEPTH (m), AMPLITUDE, PIXEL COUNT
ROOT_PFTC7_SITE2_(nogp)_0003, , DETECT, 0.06, 0.05, 3.3, 420
ROOT_PFTC7_SITE2_(nogp)_0003, , DETECT, 0.35, 0.08, 2.4, 695
ROOT_PFTC7_SITE2_(nogp)_0003, , DETECT, 0.59, 0.02, 29.7, 1909
ROOT_PFTC7_SITE2_(nogp)_0003, , DETECT, 0.66, 0.10, 3.1, 814
ROOT_PFTC7_SITE2_(nogp)_0003, , DETECT, 0.82, 0.09, 1.9, 458
ROOT_PFTC7_SITE2_(nogp)_0003, , DETECT, 0.90, 0.02, 25.0, 755
ROOT_PFTC7_SITE2_(nogp)_0003, , DETECT, 1.09, 0.09, 5.9, 1480
ROOT_PFTC7_SITE2_(nogp)_0003, , DETECT, 1.50, 0.06, 5.2, 595
ROOT_PFTC7_SITE2_(nogp)_0003, , DETECT, 1.60, 0.04, 4.4, 622
ROOT_PFTC7_SITE2_(nogp)_0003, , DETECT, 1.73, 0.05, 5.2, 910
ROOT_PFTC7_SITE2_(nogp)_0003, , DETECT, 1.93, 0.06, 1.8, 88
ROOT_PFTC7_SITE2_(nogp)_0003, , DETECT, 2.01, 0.06, 1.9, 95
ROOT_PFTC7_SITE2_(nogp)_0003, , DETECT, 2.11, 0.05, 17.8, 870
ROOT_PFTC7_SITE2_(nogp)_0003, , DETECT, 2.23, 0.05, 3.9, 497
ROOT_PFTC7_SITE2_(nogp)_0003, , DETECT, 2.38, 0.05, 1.9, 129
ROOT_PFTC7_SITE2_(nogp)_0003, , DETECT, 2.48, 0.05, 2.7, 204
ROOT_PFTC7_SITE2_(nogp)_0003, , DETECT, 2.64, 0.04, 45.4, 2305
ROOT_PFTC7_SITE2_(nogp)_0003, , DETECT, 2.83, 0.07, 4.3, 1161
ROOT_PFTC7_SITE2_(nogp)_0003, , DETECT, 2.99, 0.06, 3.9, 500
ROOT_PFTC7_SITE2_(nogp)_0003, , DETECT, 3.19, 0.09, 2.1, 720
ROOT_PFTC7_SITE2_(nogp)_0003, , DETECT, 3.30, 0.06, 2.1, 120
ROOT_PFTC7_SITE2_(nogp)_0003, , DETECT, 3.38, 0.06, 3.1, 322
ROOT_PFTC7_SITE2_(nogp)_0003, , DETECT, 3.59, 0.07, 7.0, 1129
ROOT_PFTC7_SITE2_(nogp)_0003, , DETECT, 3.92, 0.06, 3.4, 782
ROOT_PFTC7_SITE2_(nogp)_0003, , DETECT, 4.01, 0.07, 3.1, 292
ROOT_PFTC7_SITE2_(nogp)_0003, , DETECT, 4.16, 0.05, 37.2, 738
ROOT_PFTC7_SITE2_(nogp)_0003, , DETECT, 4.22, 0.07, 3.1, 936
ROOT_PFTC7_SITE2_(nogp)_0003, , DETECT, 4.37, 0.12, 1.7, 211
ROOT_PFTC7_SITE2_(nogp)_0003, , DETECT, 4.50, 0.09, 3.0, 845
ROOT_PFTC7_SITE2_(nogp)_0003, , DETECT, 4.69, 0.09, 2.5, 381
ROOT_PFTC7_SITE2_(nogp)_0003, , DETECT, 5.05, 0.08, 2.1, 315
