SCAN FILE, #, TYPE, POSITION (m), DEPTH (m), AMPLITUDE, PIXEL COUNT
ROOT_PFTC7_SITE1_(nogp)_0002, , DETECT, 0.06, 0.07, 3.7, 1211
ROOT_PFTC7_SITE1_(nogp)_0002, , DETECT, 0.14, 0.07, 2.3, 580
ROOT_PFTC7_SITE1_(nogp)_0002, , DETECT, 0.34, 0.03, 22.1, 2212
ROOT_PFTC7_SITE1_(nogp)_0002, , DETECT, 0.47, 0.09, 1.3, 152
ROOT_PFTC7_SITE1_(nogp)_0002, , DETECT, 0.58, 0.10, 4.2, 1495
ROOT_PFTC7_SITE1_(nogp)_0002, , DETECT, 0.69, 0.08, 3.8, 844
ROOT_PFTC7_SITE1_(nogp)_0002, , DETECT, 1.06, 0.09, 1.8, 394
ROOT_PFTC7_SITE1_(nogp)_0002, , DETECT, 1.20, 0.04, 8.0, 346
ROOT_PFTC7_SITE1_(nogp)_0002, , DETECT, 1.24, 0.09, 2.9, 622
ROOT_PFTC7_SITE1_(nogp)_0002, , DETECT, 1.32, 0.12, 5.5, 771
ROOT_PFTC7_SITE1_(nogp)_0002, , DETECT, 1.46, 0.10, 18.2, 3628
ROOT_PFTC7_SITE1_(nogp)_0002, , DETECT, 1.55, 0.06, 7.6, 736
ROOT_PFTC7_SITE1_(nogp)_0002, , DETECT, 1.80, 0.12, 3.0, 383
ROOT_PFTC7_SITE1_(nogp)_0002, , DETECT, 1.83, 0.04, 35.9, 4624
ROOT_PFTC7_SITE1_(nogp)_0002, , DETECT, 2.00, 0.12, 1.4, 409
ROOT_PFTC7_SITE1_(nogp)_0002, , DETECT, 2.40, 0.11, 2.0, 958
ROOT_PFTC7_SITE1_(nogp)_0002, , DETECT, 2.58, 0.08, 2.4, 1556
ROOT_PFTC7_SITE1_(nogp)_0002, , DETECT, 2.82, 0.11, 3.5, 2115
ROOT_PFTC7_SITE1_(nogp)_0002, , DETECT, 2.94, 0.06, 5.3, 1311
ROOT_PFTC7_SITE1_(nogp)_0002, , DETECT, 3.20, 0.10, 1.5, 455
ROOT_PFTC7_SITE1_(nogp)_0002, , DETECT, 3.26, 0.02, 9.4, 776
ROOT_PFTC7_SITE1_(nogp)_0002, , DETECT, 3.33, 0.07, 2.7, 775
ROOT_PFTC7_SITE1_(nogp)_0002, , DETECT, 3.45, 0.07, 3.2, 459
ROOT_PFTC7_SITE1_(nogp)_0002, , DETECT, 3.86, 0.05, 39.5, 2274
ROOT_PFTC7_SITE1_(nogp)_0002, , DETECT, 4.00, 0.09, 2.6, 1141
ROOT_PFTC7_SITE1_(nogp)_0002, , DETECT, 4.13, 0.13, 1.2, 328
ROOT_PFTC7_SITE1_(nogp)_0002, , DETECT, 4.21, 0.07, 3.0, 479
ROOT_PFTC7_SITE1_(nogp)_0002, , DETECT, 4.29, 0.10, 2.7, 817
