SCAN FILE, #, TYPE, POSITION (m), DEPTH (m), AMPLITUDE, PIXEL COUNT
site3-1-ROOT_PFTC_SITE3_0001, , DETECT, 0.00, 0.03, 25.3, 242
site3-1-ROOT_PFTC_SITE3_0001, , DETECT, 0.27, 0.05, 28.2, 2292
site3-1-ROOT_PFTC_SITE3_0001, , DETECT, 0.39, 0.03, 13.2, 305
site3-1-ROOT_PFTC_SITE3_0001, , DETECT, 0.50, 0.07, 14.1, 1649
site3-1-ROOT_PFTC_SITE3_0001, , DETECT, 0.54, 0.03, 19.9, 402
site3-1-ROOT_PFTC_SITE3_0001, , DETECT, 0.63, 0.06, 5.5, 297
site3-1-ROOT_PFTC_SITE3_0001, , DETECT, 0.66, 0.13, 4.0, 196
site3-1-ROOT_PFTC_SITE3_0001, , DETECT, 0.74, 0.08, 6.7, 1113
site3-1-ROOT_PFTC_SITE3_0001, , DETECT, 0.92, 0.09, 2.9, 108
site3-1-ROOT_PFTC_SITE3_0001, , DETECT, 1.02, 0.06, 6.9, 972
site3-1-ROOT_PFTC_SITE3_0001, , DETECT, 1.36, 0.09, 14.5, 1189
site3-1-ROOT_PFTC_SITE3_0001, , DETECT, 1.43, 0.13, 2.5, 167
site3-1-ROOT_PFTC_SITE3_0001, , DETECT, 1.47, 0.05, 17.9, 993
site3-1-ROOT_PFTC_SITE3_0001, , DETECT, 1.78, 0.03, 28.3, 1150
site3-1-ROOT_PFTC_SITE3_0001, , DETECT, 1.84, 0.07, 6.1, 448
site3-1-ROOT_PFTC_SITE3_0001, , DETECT, 2.10, 0.07, 13.1, 606
site3-1-ROOT_PFTC_SITE3_0001, , DETECT, 2.25, 0.06, 22.2, 602
site3-1-ROOT_PFTC_SITE3_0001, , DETECT, 2.56, 0.06, 11.6, 527
site3-1-ROOT_PFTC_SITE3_0001, , DETECT, 2.80, 0.12, 3.0, 251
site3-1-ROOT_PFTC_SITE3_0001, , DETECT, 2.86, 0.04, 7.7, 421
site3-1-ROOT_PFTC_SITE3_0001, , DETECT, 2.93, 0.05, 6.9, 137
site3-1-ROOT_PFTC_SITE3_0001, , DETECT, 3.19, 0.07, 8.3, 856
site3-1-ROOT_PFTC_SITE3_0001, , DETECT, 3.39, 0.07, 4.5, 276
site3-1-ROOT_PFTC_SITE3_0001, , DETECT, 3.61, 0.10, 7.5, 742
site3-1-ROOT_PFTC_SITE3_0001, , DETECT, 3.69, 0.11, 3.1, 301
site3-1-ROOT_PFTC_SITE3_0001, , DETECT, 3.73, 0.05, 6.3, 470
site3-1-ROOT_PFTC_SITE3_0001, , DETECT, 3.86, 0.05, 12.3, 643
site3-1-ROOT_PFTC_SITE3_0001, , DETECT, 4.19, 0.05, 27.6, 1490
site3-1-ROOT_PFTC_SITE3_0001, , DETECT, 4.46, 0.06, 36.4, 2509
site3-1-ROOT_PFTC_SITE3_0001, , DETECT, 4.73, 0.06, 5.4, 129
site3-1-ROOT_PFTC_SITE3_0001, , DETECT, 4.81, 0.06, 6.7, 195
site3-1-ROOT_PFTC_SITE3_0001, , DETECT, 5.02, 0.09, 5.8, 914
site3-1-ROOT_PFTC_SITE3_0001, , DETECT, 5.38, 0.08, 9.5, 703
site3-1-ROOT_PFTC_SITE3_0001, , DETECT, 5.67, 0.05, 15.9, 1059
site3-1-ROOT_PFTC_SITE3_0001, , DETECT, 5.99, 0.06, 4.8, 147
site3-1-ROOT_PFTC_SITE3_0001, , DETECT, 6.08, 0.05, 70.5, 3607
site3-1-ROOT_PFTC_SITE3_0001, , DETECT, 6.44, 0.05, 5.3, 186
site3-1-ROOT_PFTC_SITE3_0001, , DETECT, 6.55, 0.08, 2.4, 74
site3-1-ROOT_PFTC_SITE3_0001, , DETECT, 6.93, 0.06, 5.7, 294
site3-1-ROOT_PFTC_SITE3_0001, , DETECT, 7.13, 0.10, 42.4, 2427
site3-1-ROOT_PFTC_SITE3_0001, , DETECT, 7.28, 0.07, 3.8, 384
site3-1-ROOT_PFTC_SITE3_0001, , DETECT, 7.69, 0.12, 4.8, 862
site3-1-ROOT_PFTC_SITE3_0001, , DETECT, 7.93, 0.05, 23.2, 1452
site3-1-ROOT_PFTC_SITE3_0001, , DETECT, 8.28, 0.05, 5.6, 265
site3-1-ROOT_PFTC_SITE3_0001, , DETECT, 8.43, 0.08, 3.3, 244
site3-1-ROOT_PFTC_SITE3_0001, , DETECT, 8.56, 0.04, 16.0, 386
site3-1-ROOT_PFTC_SITE3_0001, , DETECT, 8.70, 0.06, 6.1, 270
site3-1-ROOT_PFTC_SITE3_0001, , DETECT, 9.10, 0.04, 40.6, 1965
site3-1-ROOT_PFTC_SITE3_0001, , DETECT, 9.18, 0.06, 3.5, 258
site3-1-ROOT_PFTC_SITE3_0001, , DETECT, 9.41, 0.09, 4.7, 513
site3-1-ROOT_PFTC_SITE3_0001, , DETECT, 9.76, 0.07, 8.5, 604
site3-1-ROOT_PFTC_SITE3_0001, , DETECT, 10.05, 0.08, 13.1, 563
site3-1-ROOT_PFTC_SITE3_0001, , DETECT, 10.21, 0.05, 13.8, 1232
site3-1-ROOT_PFTC_SITE3_0001, , DETECT, 10.46, 0.06, 9.8, 1958
site3-1-ROOT_PFTC_SITE3_0001, , DETECT, 10.67, 0.09, 7.3, 603
site3-1-ROOT_PFTC_SITE3_0001, , DETECT, 11.08, 0.08, 4.2, 234
site3-1-ROOT_PFTC_SITE3_0001, , DETECT, 11.23, 0.05, 21.7, 926
