SCAN FILE, #, TYPE, POSITION (m), DEPTH (m), AMPLITUDE, PIXEL COUNT
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 10.30, 0.05, 49.4, 7830
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 10.55, 0.11, 1.6, 213
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 10.76, 0.06, 16.4, 1077
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 11.07, 0.06, 34.5, 2139
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 11.44, 0.09, 1.8, 191
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 11.51, 0.09, 1.6, 146
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 11.62, 0.07, 2.1, 560
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 12.10, 0.06, 13.3, 1561
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 12.17, 0.10, 1.5, 89
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 12.43, 0.08, 2.5, 321
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 12.52, 0.05, 2.2, 145
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 12.64, 0.05, 8.4, 695
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 12.97, 0.06, 52.5, 3875
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 13.09, 0.10, 5.9, 1010
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 13.56, 0.14, 1.4, 150
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 13.64, 0.07, 21.9, 2466
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 13.74, 0.02, 32.5, 2408
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 13.90, 0.07, 2.1, 720
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 14.48, 0.03, 14.9, 1978
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 14.56, 0.12, 1.5, 419
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 14.73, 0.05, 2.5, 180
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 14.92, 0.08, 1.4, 236
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 15.02, 0.04, 9.7, 305
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 15.22, 0.06, 3.0, 522
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 15.45, 0.07, 3.0, 367
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 15.95, 0.07, 5.9, 723
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 16.05, 0.09, 1.1, 95
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 16.26, 0.07, 2.6, 291
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 16.74, 0.07, 38.4, 2485
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 16.91, 0.10, 2.1, 308
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 17.14, 0.08, 2.6, 938
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 17.26, 0.05, 3.0, 286
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 17.38, 0.03, 30.6, 1565
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 17.41, 0.08, 2.6, 585
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 17.60, 0.07, 3.6, 940
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 17.88, 0.05, 5.9, 454
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 18.38, 0.07, 2.5, 904
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 18.62, 0.10, 5.0, 876
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 19.22, 0.06, 33.8, 4085
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 19.29, 0.09, 2.3, 281
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 19.40, 0.13, 1.4, 124
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 19.62, 0.09, 1.6, 114
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 19.70, 0.08, 3.3, 281

TBA Density Info
# Total Detections = 107, 5.24, #/m
Zone 1: 0-20 cm
# Detections = 107, 5.24, #/m
Zone 2: 20-41 cm
# Detections = 0, 0.00, #/m
Zone 3: 41 cm -
# Detections = 0, 0.00, #/m
