SCAN FILE, #, TYPE, POSITION (m), DEPTH (m), AMPLITUDE, PIXEL COUNT
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 0.00, 0.08, 13.8, 1049
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 0.23, 0.06, 23.1, 2496
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 0.35, 0.15, 2.0, 460
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 0.41, 0.06, 14.1, 1279
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 0.46, 0.17, 1.7, 328
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 0.81, 0.11, 3.6, 1102
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 1.00, 0.05, 16.5, 559
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 1.06, 0.13, 3.0, 283
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 1.19, 0.12, 2.9, 928
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 1.27, 0.08, 9.2, 4410
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 1.31, 0.14, 1.6, 107
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 1.40, 0.13, 1.6, 275
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 1.61, 0.14, 4.5, 1897
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 1.87, 0.08, 34.7, 9902
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 1.97, 0.08, 3.2, 150
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 1.97, 0.15, 2.9, 448
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 2.13, 0.12, 6.2, 626
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 2.22, 0.21, 1.4, 152
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 2.25, 0.04, 16.6, 1399
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 2.25, 0.12, 1.9, 318
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 2.57, 0.14, 3.1, 1193
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 2.66, 0.09, 8.9, 1406
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 2.69, 0.17, 3.2, 669
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 2.87, 0.09, 4.4, 1390
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 3.18, 0.17, 2.1, 589
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 3.31, 0.14, 3.3, 971
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 3.40, 0.15, 1.9, 158
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 3.52, 0.15, 3.0, 507
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 3.54, 0.02, 31.4, 1990
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 3.72, 0.14, 2.5, 492
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 3.79, 0.07, 5.9, 700
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 3.86, 0.11, 2.6, 243
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 3.97, 0.09, 7.7, 996
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 4.11, 0.04, 30.0, 2906
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 4.20, 0.06, 6.1, 375
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 4.21, 0.12, 4.2, 1424
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 4.28, 0.15, 2.7, 456
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 4.35, 0.09, 4.7, 672
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 4.58, 0.10, 2.5, 439
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 4.65, 0.07, 5.6, 262
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 4.79, 0.07, 11.7, 1506
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 4.93, 0.11, 2.1, 208
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 4.99, 0.17, 1.5, 124
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 5.05, 0.11, 2.2, 147
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 5.15, 0.09, 2.5, 182
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 5.40, 0.09, 3.1, 523
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 5.52, 0.09, 2.9, 345
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 5.59, 0.10, 1.9, 312
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 5.77, 0.07, 7.2, 1285
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 5.88, 0.01, 16.9, 1474
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 6.12, 0.16, 2.4, 494
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 6.22, 0.17, 3.4, 1193
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 6.34, 0.07, 55.8, 9486
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 6.40, 0.14, 2.3, 330
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 6.75, 0.09, 2.6, 272
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 6.89, 0.09, 3.5, 954
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 7.17, 0.10, 2.0, 283
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 7.24, 0.16, 1.7, 246
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 7.29, 0.01, 9.5, 320
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 7.31, 0.10, 2.0, 536
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 7.39, 0.07, 12.1, 2101
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 7.44, 0.16, 1.7, 168
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 7.52, 0.10, 2.5, 474
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 7.75, 0.10, 2.8, 364
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 7.91, 0.18, 3.0, 448
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 8.10, 0.17, 1.9, 269
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 8.21, 0.11, 4.2, 1108
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 8.28, 0.20, 1.3, 104
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 8.34, 0.14, 6.6, 1171
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 8.42, 0.20, 1.5, 220
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 8.55, 0.10, 5.8, 1352
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 8.75, 0.11, 9.0, 1868
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 8.93, 0.14, 1.8, 170
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 8.95, 0.07, 4.5, 845
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 9.15, 0.13, 2.3, 386
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 9.30, 0.09, 4.5, 634
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 9.40, 0.09, 3.9, 656
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 9.53, 0.09, 4.1, 469
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 9.69, 0.08, 3.2, 423
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 9.92, 0.09, 3.3, 497
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 10.14, 0.10, 2.5, 178
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 10.23, 0.16, 2.4, 306
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 10.31, 0.09, 2.4, 187
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 10.35, 0.14, 2.2, 438
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 10.54, 0.10, 4.4, 1075
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 10.64, 0.09, 6.3, 1278
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 10.76, 0.08, 4.7, 678
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 10.84, 0.05, 11.4, 2852
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 11.09, 0.07, 4.2, 370
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 11.28, 0.09, 2.6, 351
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 11.38, 0.06, 2.6, 404
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 11.48, 0.07, 4.3, 542
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 11.57, 0.11, 2.5, 331
ROOT_SITE3_WEST_PLOT_0002, , DETECT, 11.78, 0.09, 1.9, 199
ROOT_SITE3_WEST_PLOT_0002, -, MARKER, 0.04, -, -, -
ROOT_SITE3_WEST_PLOT_0002, -, MARKER, 1.25, -, -, -
ROOT_SITE3_WEST_PLOT_0002, -, MARKER, 3.89, -, -, -
