SCAN FILE, #, TYPE, POSITION (m), DEPTH (m), AMPLITUDE, PIXEL COUNT
ROOT_PFTC_SITE4_(nogp)_0006, , DETECT, 0.03, 0.04, 52.0, 1467
ROOT_PFTC_SITE4_(nogp)_0006, , DETECT, 0.12, 0.10, 1.0, 348
ROOT_PFTC_SITE4_(nogp)_0006, , DETECT, 0.20, 0.05, 3.5, 488
ROOT_PFTC_SITE4_(nogp)_0006, , DETECT, 0.30, 0.06, 6.4, 717
ROOT_PFTC_SITE4_(nogp)_0006, , DETECT, 0.48, 0.08, 6.8, 1237
ROOT_PFTC_SITE4_(nogp)_0006, , DETECT, 0.68, 0.06, 5.5, 496
ROOT_PFTC_SITE4_(nogp)_0006, , DETECT, 0.74, 0.10, 1.6, 367
ROOT_PFTC_SITE4_(nogp)_0006, , DETECT, 1.06, 0.09, 4.0, 3202
ROOT_PFTC_SITE4_(nogp)_0006, , DETECT, 1.19, 0.06, 2.9, 521
ROOT_PFTC_SITE4_(nogp)_0006, , DETECT, 1.29, 0.06, 2.9, 1281
ROOT_PFTC_SITE4_(nogp)_0006, , DETECT, 1.56, 0.08, 2.7, 640
ROOT_PFTC_SITE4_(nogp)_0006, , DETECT, 2.29, 0.12, 2.1, 1231
ROOT_PFTC_SITE4_(nogp)_0006, , DETECT, 2.30, 0.02, 16.8, 2676
ROOT_PFTC_SITE4_(nogp)_0006, , DETECT, 2.37, 0.14, 1.0, 232
ROOT_PFTC_SITE4_(nogp)_0006, , DETECT, 2.39, 0.05, 6.7, 1051
ROOT_PFTC_SITE4_(nogp)_0006, , DETECT, 2.75, 0.14, 1.4, 1038
ROOT_PFTC_SITE4_(nogp)_0006, , DETECT, 2.79, 0.03, 2.8, 215
ROOT_PFTC_SITE4_(nogp)_0006, , DETECT, 2.90, 0.02, 12.3, 2782
ROOT_PFTC_SITE4_(nogp)_0006, , DETECT, 2.92, 0.14, 2.1, 354
ROOT_PFTC_SITE4_(nogp)_0006, , DETECT, 2.98, 0.11, 1.9, 318
ROOT_PFTC_SITE4_(nogp)_0006, , DETECT, 3.45, 0.11, 1.6, 984
ROOT_PFTC_SITE4_(nogp)_0006, , DETECT, 3.54, 0.10, 1.7, 493
ROOT_PFTC_SITE4_(nogp)_0006, , DETECT, 3.70, 0.02, 9.2, 260
ROOT_PFTC_SITE4_(nogp)_0006, , DETECT, 3.73, 0.08, 1.7, 165
ROOT_PFTC_SITE4_(nogp)_0006, , DETECT, 3.81, 0.11, 1.2, 322
ROOT_PFTC_SITE4_(nogp)_0006, , DETECT, 3.93, 0.09, 2.7, 1211
ROOT_PFTC_SITE4_(nogp)_0006, , DETECT, 4.00, 0.05, 3.7, 427
ROOT_PFTC_SITE4_(nogp)_0006, , DETECT, 4.15, 0.10, 1.5, 438
ROOT_PFTC_SITE4_(nogp)_0006, , DETECT, 4.20, 0.02, 44.4, 973
ROOT_PFTC_SITE4_(nogp)_0006, , DETECT, 4.37, 0.08, 4.7, 745
ROOT_PFTC_SITE4_(nogp)_0006, , DETECT, 4.52, 0.06, 7.9, 2124
ROOT_PFTC_SITE4_(nogp)_0006, , DETECT, 4.62, 0.03, 6.0, 840
ROOT_PFTC_SITE4_(nogp)_0006, , DETECT, 4.69, 0.07, 3.0, 1160
ROOT_PFTC_SITE4_(nogp)_0006, , DETECT, 5.00, 0.06, 15.9, 3260
ROOT_PFTC_SITE4_(nogp)_0006, , DETECT, 5.15, 0.09, 1.4, 229
ROOT_PFTC_SITE4_(nogp)_0006, , DETECT, 5.41, 0.09, 4.1, 1418
ROOT_PFTC_SITE4_(nogp)_0006, , DETECT, 5.48, 0.06, 4.6, 390
ROOT_PFTC_SITE4_(nogp)_0006, , DETECT, 5.50, 0.13, 1.9, 413
