SCAN FILE, #, TYPE, POSITION (m), DEPTH (m), AMPLITUDE, PIXEL COUNT
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 0.00, 0.04, 18.0, 723
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 0.08, 0.14, 3.9, 295
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 0.10, 0.03, 10.0, 582
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 0.18, 0.13, 2.9, 182
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 0.26, 0.08, 3.7, 187
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 0.48, 0.08, 4.6, 906
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 0.64, 0.12, 6.3, 506
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 0.73, 0.09, 8.4, 790
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 0.82, 0.11, 6.4, 220
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 0.90, 0.08, 3.3, 242
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 1.20, 0.05, 7.3, 504
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 1.38, 0.04, 37.0, 3521
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 1.60, 0.07, 20.7, 1155
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 1.79, 0.09, 4.0, 383
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 1.89, 0.08, 5.5, 456
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 1.97, 0.06, 4.9, 385
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 2.08, 0.03, 18.2, 1021
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 2.15, 0.08, 4.6, 658
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 2.28, 0.11, 5.0, 926
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 2.39, 0.02, 42.6, 971
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 2.49, 0.12, 6.6, 698
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 2.54, 0.06, 6.1, 475
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 2.66, 0.04, 3.9, 122
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 2.76, 0.02, 20.1, 1072
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 2.93, 0.06, 9.4, 401
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 3.04, 0.06, 3.6, 288
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 3.26, 0.06, 3.0, 213
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 3.46, 0.08, 5.0, 357
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 3.62, 0.04, 15.3, 451
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 3.70, 0.06, 4.4, 415
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 3.92, 0.04, 45.1, 2371
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 4.16, 0.08, 13.8, 1453
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 4.22, 0.13, 3.4, 279
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 4.26, 0.17, 3.0, 130
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 4.27, 0.04, 20.5, 892
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 4.34, 0.09, 4.5, 341
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 4.40, 0.01, 17.1, 365
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 4.51, 0.10, 2.5, 92
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 4.53, 0.02, 7.4, 374
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 4.63, 0.02, 8.2, 178
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 4.70, 0.08, 3.7, 224
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 4.95, 0.03, 42.1, 2186
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 5.08, 0.06, 19.4, 1643
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 5.21, 0.09, 4.8, 445
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 5.33, 0.09, 5.9, 578
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 5.56, 0.06, 22.4, 1857
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 5.62, 0.04, 8.6, 156
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 5.96, 0.08, 3.8, 218
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 6.03, 0.08, 3.5, 256
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 6.12, 0.11, 4.0, 285
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 6.39, 0.04, 6.6, 640
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 6.61, 0.07, 9.4, 717
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 6.82, 0.05, 8.9, 1362
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 6.87, 0.12, 4.7, 383
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 6.94, 0.09, 4.8, 283
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 7.14, 0.06, 5.6, 403
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 7.34, 0.11, 4.9, 465
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 7.44, 0.05, 4.6, 329
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 7.71, 0.05, 9.5, 1029
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 7.81, 0.04, 9.5, 232
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 7.87, 0.08, 4.2, 194
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 7.93, 0.03, 25.2, 849
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 8.05, 0.04, 26.2, 898
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 8.21, 0.04, 57.7, 1560
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 8.72, 0.05, 3.9, 186
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 8.81, 0.09, 15.0, 1937
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 8.97, 0.07, 4.3, 585
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 9.02, 0.03, 42.3, 2818
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 9.32, 0.07, 5.0, 570
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 9.47, 0.03, 11.7, 521
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 9.54, 0.06, 21.3, 1499
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 9.57, 0.12, 3.1, 163
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 9.62, 0.04, 9.4, 486
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 9.90, 0.11, 3.1, 179
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 10.02, 0.20, 3.5, 172
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 10.11, 0.08, 16.7, 1286
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 10.21, 0.02, 55.9, 2414
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 10.37, 0.06, 6.2, 607
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 10.54, 0.03, 9.5, 238
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 10.65, 0.04, 4.3, 394
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 10.71, 0.09, 3.7, 202
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 10.73, 0.02, 14.7, 531
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 10.84, 0.06, 5.2, 485
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 11.09, 0.06, 4.2, 473
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 11.29, 0.13, 5.0, 246
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 11.42, 0.04, 35.4, 1720
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 11.55, 0.13, 2.4, 61
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 11.60, 0.05, 4.9, 166
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 12.09, 0.13, 3.4, 263
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 12.34, 0.13, 5.7, 850
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 12.84, 0.07, 5.9, 607
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 13.08, 0.09, 4.1, 196
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 13.12, 0.05, 3.9, 193
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 13.23, 0.03, 14.6, 620
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 13.36, 0.04, 43.9, 1536
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 13.53, 0.05, 25.3, 1796
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 13.75, 0.06, 12.6, 554
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 13.87, 0.03, 25.4, 415
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 13.98, 0.15, 4.5, 631
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 14.01, 0.06, 7.3, 495
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 14.14, 0.17, 2.5, 122
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 14.31, 0.07, 3.3, 179
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 14.42, 0.05, 4.1, 472
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 14.64, 0.02, 9.7, 846
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 14.70, 0.08, 4.9, 687
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 14.83, 0.06, 5.6, 1009
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 15.00, 0.07, 7.8, 591
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 15.31, 0.11, 7.9, 1743
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 15.39, 0.03, 25.2, 1429
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 15.58, 0.06, 4.5, 253
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 15.66, 0.03, 24.2, 414
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 15.83, 0.06, 5.1, 379
ROOT_SITE3_WEST_PLOT_0001, , DETECT, 15.91, 0.03, 34.5, 1573
ROOT_SITE3_WEST_PLOT_0001, -, MARKER, 0.00, -, -, -
ROOT_SITE3_WEST_PLOT_0001, -, MARKER, 1.24, -, -, -
ROOT_SITE3_WEST_PLOT_0001, -, MARKER, 3.59, -, -, -
ROOT_SITE3_WEST_PLOT_0001, -, MARKER, 4.83, -, -, -
ROOT_SITE3_WEST_PLOT_0001, -, MARKER, 7.31, -, -, -
ROOT_SITE3_WEST_PLOT_0001, -, MARKER, 8.55, -, -, -
ROOT_SITE3_WEST_PLOT_0001, -, MARKER, 11.10, -, -, -
ROOT_SITE3_WEST_PLOT_0001, -, MARKER, 12.48, -, -, -
ROOT_SITE3_WEST_PLOT_0001, -, MARKER, 14.92, -, -, -
ROOT_SITE3_WEST_PLOT_0001, -, MARKER, 16.22, -, -, -

TBA Density Info
# Total Detections = 113, 6.97, #/m
Zone 1: 0-20 cm
# Detections = 113, 6.97, #/m
Zone 2: 20-41 cm
# Detections = 0, 0.00, #/m
Zone 3: 41 cm -
# Detections = 0, 0.00, #/m
