SCAN FILE, #, TYPE, POSITION (m), DEPTH (m), AMPLITUDE, PIXEL COUNT
ROOT_PFTC7_SITE2_(nogp)_0004, , DETECT, 11.42, 0.06, 9.4, 1441
ROOT_PFTC7_SITE2_(nogp)_0004, , DETECT, 11.56, 0.11, 1.3, 164
ROOT_PFTC7_SITE2_(nogp)_0004, , DETECT, 11.57, 0.06, 2.5, 423
ROOT_PFTC7_SITE2_(nogp)_0004, , DETECT, 11.69, 0.06, 5.6, 667
ROOT_PFTC7_SITE2_(nogp)_0004, , DETECT, 12.14, 0.05, 65.0, 5010
ROOT_PFTC7_SITE2_(nogp)_0004, , DETECT, 12.46, 0.09, 6.6, 1389
ROOT_PFTC7_SITE2_(nogp)_0004, , DETECT, 12.70, 0.07, 4.8, 1278
ROOT_PFTC7_SITE2_(nogp)_0004, , DETECT, 12.80, 0.04, 10.8, 474
ROOT_PFTC7_SITE2_(nogp)_0004, , DETECT, 12.82, 0.08, 2.0, 247
ROOT_PFTC7_SITE2_(nogp)_0004, , DETECT, 13.04, 0.09, 2.0, 732
ROOT_PFTC7_SITE2_(nogp)_0004, , DETECT, 13.17, 0.06, 13.1, 1400
ROOT_PFTC7_SITE2_(nogp)_0004, , DETECT, 13.21, 0.12, 2.6, 768
ROOT_PFTC7_SITE2_(nogp)_0004, , DETECT, 13.33, 0.09, 2.8, 707
ROOT_PFTC7_SITE2_(nogp)_0004, , DETECT, 13.49, 0.03, 8.5, 1251
ROOT_PFTC7_SITE2_(nogp)_0004, , DETECT, 13.80, 0.08, 1.7, 153
ROOT_PFTC7_SITE2_(nogp)_0004, , DETECT, 13.95, 0.06, 1.6, 180
ROOT_PFTC7_SITE2_(nogp)_0004, , DETECT, 14.08, 0.08, 4.3, 837
ROOT_PFTC7_SITE2_(nogp)_0004, , DETECT, 14.26, 0.06, 2.4, 597
ROOT_PFTC7_SITE2_(nogp)_0004, , DETECT, 14.38, 0.06, 20.8, 662
ROOT_PFTC7_SITE2_(nogp)_0004, , DETECT, 14.54, 0.04, 17.5, 1300
ROOT_PFTC7_SITE2_(nogp)_0004, , DETECT, 14.55, 0.11, 1.7, 169
ROOT_PFTC7_SITE2_(nogp)_0004, , DETECT, 14.97, 0.07, 25.4, 820
ROOT_PFTC7_SITE2_(nogp)_0004, , DETECT, 15.13, 0.05, 9.7, 828
ROOT_PFTC7_SITE2_(nogp)_0004, -, MARKER, 0.00, -, -, -
ROOT_PFTC7_SITE2_(nogp)_0004, -, MARKER, 1.15, -, -, -
ROOT_PFTC7_SITE2_(nogp)_0004, -, MARKER, 3.41, -, -, -
ROOT_PFTC7_SITE2_(nogp)_0004, -, MARKER, 4.70, -, -, -
ROOT_PFTC7_SITE2_(nogp)_0004, -, MARKER, 7.15, -, -, -
ROOT_PFTC7_SITE2_(nogp)_0004, -, MARKER, 8.28, -, -, -
ROOT_PFTC7_SITE2_(nogp)_0004, -, MARKER, 10.77, -, -, -
ROOT_PFTC7_SITE2_(nogp)_0004, -, MARKER, 11.92, -, -, -
ROOT_PFTC7_SITE2_(nogp)_0004, -, MARKER, 14.50, -, -, -
ROOT_PFTC7_SITE2_(nogp)_0004, -, MARKER, 15.53, -, -, -

TBA Density Info
# Total Detections = 86, 5.51, #/m
Zone 1: 0-20 cm
# Detections = 86, 5.51, #/m
Zone 2: 20-41 cm
# Detections = 0, 0.00, #/m
Zone 3: 41 cm -
# Detections = 0, 0.00, #/m
