date,elevation_m_asl,site_id,aspect,scan_file,type,position_m,depth_m,amplitude_dB,pixel_count
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,DETECT,9.9,0.13,0.8,150
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,DETECT,9.96,0.15,0.8,184
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,DETECT,10.09,0.10,2.9,622
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,DETECT,10.3,0.10,0.9,196
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,DETECT,10.39,0.05,4.9,1050
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,DETECT,10.62,0.04,4.2,489
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,DETECT,10.81,0.07,2.2,466
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,DETECT,11.1,0.06,1.2,229
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,DETECT,11.4,0.03,17.5,2837
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,DETECT,11.45,0.17,0.9,231
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,DETECT,11.48,0.07,1.4,198
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,DETECT,11.49,0.04,5.1,385
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,DETECT,11.65,0.16,0.7,185
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,DETECT,11.75,0.07,3.5,1149
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,DETECT,12.01,0.04,14.9,881
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,DETECT,12.24,0.06,4.0,642
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,DETECT,12.27,0.16,1.0,239
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,DETECT,12.51,0.07,2.4,1113
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,DETECT,12.83,0.06,2.2,339
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,DETECT,13.01,0.06,1.5,317
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,DETECT,13.53,0.06,2.4,668
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,DETECT,13.76,0.05,3.5,612
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,DETECT,13.88,0.06,2.2,402
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,DETECT,14.15,0.07,1.8,377
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,DETECT,14.19,0.14,0.9,206
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,DETECT,14.21,0.04,16.7,2389
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,DETECT,14.57,0.04,1.8,159
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,DETECT,14.7,0.17,0.8,193
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,DETECT,14.87,0.04,2.6,828
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,DETECT,14.94,0.04,12.4,1806
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,DETECT,15.01,0.09,1.1,214
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,DETECT,15.17,0.03,14.0,720
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,MARKER,0,NA,NA,NA
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,MARKER,1.17,NA,NA,NA
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,MARKER,3.51,NA,NA,NA
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,MARKER,4.66,NA,NA,NA
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,MARKER,7,NA,NA,NA
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,MARKER,8.24,NA,NA,NA
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,MARKER,10.61,NA,NA,NA
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,MARKER,11.76,NA,NA,NA
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,MARKER,14.31,NA,NA,NA
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,DETECT,0.03,0.11,1.1,245
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,DETECT,0.24,0.16,1.8,460
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,DETECT,0.3,0.05,8.7,2570
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,DETECT,0.46,0.11,2.5,844
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,DETECT,0.61,0.09,1.5,215
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,DETECT,0.69,0.11,1.5,616
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,DETECT,0.74,0.07,1.3,271
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,DETECT,0.87,0.06,1.4,265
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,DETECT,1.25,0.15,1.5,415
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,DETECT,1.46,0.13,1.5,710
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,DETECT,1.49,0.04,3.7,299
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,DETECT,1.51,0.21,1.1,220
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,DETECT,1.86,0.10,2.4,362
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,DETECT,1.97,0.10,2.1,602
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,DETECT,2.29,0.06,5.9,1351
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,DETECT,2.4,0.10,2.0,998
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,DETECT,2.68,0.08,2.7,756
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,DETECT,2.95,0.13,2.1,558
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,DETECT,3.09,0.12,1.3,174
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,DETECT,3.23,0.07,1.9,216
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,DETECT,3.28,0.03,10.7,651
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,DETECT,3.46,0.05,2.4,484
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,DETECT,3.55,0.10,1.3,221
